Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,EoL-repaired,EoL-sold,EoL-recycled,EoL-landfilled,EoL-stored,EoL-new repaired weight,EoL-new sold weight,EoL-new recycled weight,EoL-new landfilled weight,EoL-new stored weight,EoL-used repaired weight,EoL-used sold weight,EoL-used recycled weight,EoL-used landfilled weight,EoL-used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006134436439528767,0.0021422945499584866,0.12048560824804155,0.259565481931357,-0.15950670690321928,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.06106501304191908,0,56,855,45,44,7,993,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,882302.5969215813,84231834.92130402,104814879.1840624,7939772.654545453,0,66631.29768915373,6466252.291441102,5746880.940353168,604004.6139952978,0,0,0.0,0.0,0,0.005900909011223103,0.0021422945499584866,0.034312811743871345,0.259565481931357,-0.15926885196127286,3880741.331647836,1062506.7433195908,227471.09276808074,9665223.299997391,1793426.0846916367,-41553.86562833318,-9407.07603684301
2022,0.05972962709646766,0,113,887,0,0,0,1000,0,55634391075.99874,55633833190.886246,557885.1137691693,3298899208.6963573,0.0,0,89340420.51401433,143341378.46300113,218862666.65259174,7603719.626014128,0,5691014.103681892,11847533.931186384,11487485.915266978,577845.311959106,0,0,0.25669615632917314,0.0,0,0.005892869592715034,0.0021422945499584866,0.03939288746772446,0.059645344130678936,-0.15302383095030578,6547458.436575061,1792626.2396653453,656615.8114117695,12836058.9720638,3372881.695229403,-8771590.414537672,-4467733.77773242
2023,0.05836688665777374,0,199,801,0,0,0,1000,0,64869699994.6152,64813004506.16813,56695488.447778136,3720709102.523686,29712.5037497259,0,227944551.36103994,219469653.23888084,351043370.55594087,5715242.422592806,0,14556275.521422537,18614621.105958838,17793722.94612839,436027.2883015382,0,0,25.21279886286637,0.10205635156851806,0,0.005884584371701135,0.0021422945499584866,0.035579655634202165,0.0526431916047165,-0.14702368071568417,9906865.86367537,2712397.164808751,1128826.5826750055,16794534.064556528,5139508.11185244,-21066292.818642735,-10761318.684382195
2024,0.05698711329906456,0,212,784,0,4,0,1000,0,75638070193.72394,75473093139.29076,164977054.4315187,4195135796.9068246,2931192.023584546,0,427609888.1804216,322766626.2604323,504549390.5592716,4470241.771945175,0,27128390.169910017,27647776.466005363,24755654.66613626,339508.5296159222,0,0,83.04524179980311,0.4210961262479678,0,0.005876129433443275,0.0021422945499584866,0.031480239396346844,0.04623335570629687,-0.14125879973693242,14361181.726581233,3931942.6682972056,1626638.108460555,20438630.11581454,7146380.787024116,-39356585.79172025,-20127490.98303308
2025,0.055598969189164155,0,248,751,0,1,0,1000,0,88193989845.88063,87862948849.06378,331040996.8163158,4729820332.156559,8362336.245428676,0,706360051.474265,465021839.5649273,682964185.9822873,2632441.9740375536,0,44382082.32489369,39885600.134030305,32467607.783476535,199742.91842970627,0,0,1313.0812742374603,1.2559653845857066,0,0.005867568816742946,0.0021422945499584866,0.027645433131699117,0.04108800803940262,-0.13571996297457767,20350421.998726398,5571734.561825289,2131425.656358098,23713864.469509665,9415037.89242472,-65848476.39393332,-33723638.0724888
2026,0.054209698950969866,0,238,761,0,1,0,1000,0,102834192160.29462,102265835208.04913,568356952.2471745,5332899353.931604,16445536.104369398,0,1083905052.7013218,659316167.8903325,890366745.774503,1631655.2293626273,0,67235678.1844909,56448526.92938684,41031378.83533512,121608.91516162494,0,0,9808.991607844673,1.2559653845857066,0,0.005858956264851939,0.0021422945499584866,0.02441074886586017,0.037129297887988466,-0.13039830710811856,28331356.558380604,7756831.7025368735,2625871.9905323475,26785658.747346327,11933130.951095015,-101509970.10930729,-51962392.58220777
2027,0.05282533692132992,0,240,759,0,1,0,1000,0,119904668058.90309,119010327683.99051,894340374.9149693,6013243531.823059,27655548.082100846,0,1585504720.2850626,921154126.8298681,1131488595.5729501,617203.9760894938,0,96921075.154838,78603075.93505566,50561094.16860442,44637.120796062176,0,0,41782.70179773693,1.2559653845857066,0,0.0058503367260506495,0.0021422945499584866,0.02157951302123587,0.03380305563288661,-0.1252853163528216,38817999.696822934,10627965.874380771,3091266.8734140983,30107653.21992527,14682365.02581715,-147827429.85180712,-75672975.84045775
2028,0.0514508847429268,0,233,767,0,0,0,1000,0,139808842956.6815,138477476203.95605,1331366752.7276604,6780821132.545723,42598824.13577774,0,2237475882.761158,1268667184.0882294,1411816880.6701841,428205.95616068173,0,134618293.4050879,107790067.77430102,61184730.936354466,29973.55551620443,0,0,129848.43247574566,1.2559653845857066,0,0.005841747639563793,0.0021422945499584866,0.019237851495747995,0.031057632261491743,-0.12037280883264886,52380516.51095529,14341242.369746171,3508184.5986003964,33869832.58183247,17607495.855987962,-206217241.5747049,-105530555.46413574
2029,0.05009046351667033,0,223,777,0,0,0,1000,0,163017110887.49374,161112807186.1888,1904303701.3046403,7646832937.092398,62040295.067994826,0,3071175940.058956,1721488656.466853,1737767212.2903123,0.0,0,181652956.00824234,145589161.71791425,73048064.3595279,0.0,0,0,330353.43822223117,1.2559653845857066,0,0.005833220037405055,0.0021422945499584866,0.01724187328228462,0.028728463036291844,-0.11565292348751051,69593127.21700537,19053876.730652545,3862092.969576915,36857053.20177158,20652471.773373313,-280883555.6143511,-143746533.3343743
