,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006115936439528768,0.0021360506167466043,0.11912550968780783,0.2680016204045641,-0.18266981655661765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,58,907,7,28,10,990,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,1282359.9926298193,89690022.17196031,101127715.0785736,5250693.908268971,0,96958.01297650022,6887460.786808945,5465586.898049432,400858.95977218915,0,0,0.0,0.0,0,0.005882409011223106,0.0021360506167466043,0.03303872721821268,0.2680016204045641,-0.18239742099748424,4132211.7273632414,1052618.281143319,87790.46037064432,10030137.95102785,1879763.8580655886,-104228.64556021355,-41635.91506864253
2,2022,0.05972962709646766,0,113,887,0,0,0,1000,0,55634391075.99874,55633580231.52491,810844.4750228797,3298899208.6963573,0.0,0,89285155.88258134,148489279.42526463,215171827.43005002,5112524.766310982,0,5691743.548957944,12248789.461385025,11206001.96790969,389710.8748694296,0,0,0.3754596545809837,0.0,0,0.005874369592715032,0.0021360506167466043,0.03905536996304771,0.061550649249568455,-0.1752455158230031,6784930.318630854,1728358.1193047098,442831.9392056613,12791582.561201567,3476323.563136677,-10577895.376150897,-5293333.379622417
3,2023,0.05836688665777374,0,201,799,0,0,0,1000,0,64869699994.6152,64812946438.24775,56753556.368260555,3720695630.115505,43184.911928892725,0,227115048.9258994,223933445.4222834,347355298.3367051,4141929.676572159,0,14512891.192358725,18963379.664576806,17512383.540478606,316064.5029891904,0,0,25.520199709830134,0.0,0,0.005866084371701136,0.0021360506167466043,0.035514637559244396,0.05446121382566953,-0.16837404086154273,10114149.223537331,2576426.154644382,823205.9595119408,16168319.979049778,5260350.15702293,-25060262.294894278,-12525832.029959694
4,2024,0.05698711329906456,0,230,769,0,1,0,1000,0,75638070193.72394,75473596286.16698,164473907.5553029,4195132397.488766,2934591.441639344,0,426446963.72691894,327217777.46004885,500869350.2033922,2847638.1491378844,0,27086878.61620346,27980127.248149935,24474707.903911356,217047.6990674224,0,0,88.95527556116254,0.0,0,0.005857629433443274,0.0021360506167466043,0.03115265207073223,0.04765355892461656,-0.16177200028717195,14567919.988818835,3710956.7249228973,1194645.146003231,19111900.277478304,7310230.411805079,-46705203.54187892,-23395911.625022158
5,2025,0.055598969189164155,0,233,765,0,2,0,1000,0,88193989845.88063,87863869176.3208,330120669.55934906,4729845081.9296665,8337586.472320529,0,703982404.6441008,469018314.71491534,679290106.643276,2587338.3308832003,0,44247026.0707016,40203325.47827916,32186932.196812797,193633.31602203846,0,0,1352.068002894322,1.0355820632000035,0,0.005849068816742934,0.0021360506167466043,0.027405255346896844,0.04234630172799422,-0.1554288294264614,20538017.453864254,5231748.530023403,1531643.6080860405,21825893.119368393,9641038.058618993,-76465558.26788545,-38339283.36768543
6,2026,0.054209698950969866,0,229,771,0,0,0,1000,0,102834192160.29462,102267677005.13976,566515155.1565032,5332944410.053869,16400479.982113922,0,1082627634.9489586,662803875.0723284,886706014.5885667,1397597.77510955,0,67164784.75833777,56754935.66383861,40751290.610670775,103356.57222830364,0,0,9945.55597125517,8.076147410044843,0,0.005840456264851931,0.0021360506167466043,0.02432976806863378,0.03833825631298715,-0.149334377852752,28498053.596701134,7259447.040007106,1801993.3532794171,23846258.066615354,12237225.239813464,-117204561.04569012,-58774616.87739945
7,2027,0.05282533692132992,0,232,766,1,1,0,1000,0,119904668058.90309,119011812621.44336,892855437.4620771,6013332115.098195,27566964.806965183,0,1584242647.8585658,924292597.5655861,1128868861.2165897,774735.3232833983,0,96845055.5163197,78903335.57046296,50352693.36718623,55117.879821050556,0,0,42131.60108622893,48.285658428434445,0,0.005831836726050651,0.0021360506167466043,0.021458174738679375,0.03483716608925262,-0.14347889314330672,38970709.77161124,9927197.4045009,1971223.3217336142,25839631.925217148,15095666.960656181,-170303872.30404648,-85382339.99372755
8,2028,0.0514508847429268,0,230,770,0,0,0,1000,0,139808842956.6815,138478820222.83304,1330022733.8506165,6780893357.16055,42526599.52095699,0,2238472181.0618267,1271678908.5026743,1409195038.6454313,454833.034833859,0,134674217.28719547,108118514.63055015,60976211.44834863,31751.434186276398,0,0,130728.47878148506,48.285658428434445,0,0.005823247639563787,0.0021360506167466043,0.019114443978309456,0.032079918614910365,-0.13785300527335376,52528280.01157174,13380782.850756183,2003592.8094682766,26771141.790402293,18181629.0536038,-239811993.86760765,-120253501.0535626
9,2029,0.05009046351667033,0,222,778,0,0,0,1000,0,163017110887.49374,161112671411.80664,1904439475.6865547,7646898892.830695,61974339.3296887,0,3073420548.055894,1725872129.685034,1735123970.1644545,454833.034833859,0,181757786.7781989,146061099.91609833,72838624.12237178,31751.434186276398,0,0,332267.3794660819,48.285658428434445,0,0.005814720037405048,0.0021360506167466043,0.017104634569452937,0.029550342552244518,-0.13244771162204783,69793033.51469631,17778717.021573298,1862501.2061044779,28315218.47212899,21434121.002705794,-324707745.756736,-162803884.83127844
10,2030,0.04874744414096422,0,209,790,0,1,0,1000,0,190077951294.8198,187434359738.7153,2643591556.101837,8624026067.231472,86772514.55813077,0,4120524089.7780814,2307732972.70267,2114157996.8711786,1987289.5087474445,0,239322501.32632843,194289690.3813316,86105979.96536407,132689.41490407364,0,0,735343.1724066061,48.285658428434445,0,0.005806279488386292,0.0021360506167466043,0.015423037418696318,0.027468264376669396,-0.12725436256635594,91325861.40292735,23263878.425519016,1524818.6779001274,29866791.83320955,24794888.90000954,-428491347.2977417,-214866869.77045432
11,2031,0.048347307021661644,0,191,809,0,0,0,1000,0,221630891209.75455,218053428455.30698,3577462754.4499364,9726777277.568642,117739405.48009036,0,5411908303.7279415,3043729060.453731,2555074581.3322253,1987289.5087474445,0,308309158.6868792,254805876.2646855,100967380.09471232,132689.41490407364,0,0,1469053.4918052428,48.285658428434445,0,0.005797946906789474,0.0021360506167466043,0.01397980685744855,0.025665848746506296,-0.12226464763981555,117832474.73907033,30016036.2552015,957640.203124367,32963754.513855055,28176209.53538132,-550704492.0601588,-276170821.6881384
12,2032,0.047914186611052303,0,182,818,0,0,0,1000,0,231604281314.20035,226866890245.92874,4737391068.266962,10971655712.536509,155707775.01548365,0,6979659420.958689,3956969098.295891,2681989007.488933,1532456.4739135855,0,390825913.03515196,327902164.5043492,102852495.1264715,100937.98071779724,0,0,2711038.058805166,48.285658428434445,0,0.005795464310293219,0.0021360506167466043,0.012770428100889051,0.02412622929187313,-0.11747058223401481,150452486.9088589,38325489.740767926,-2136628.0356789404,35958600.58987791,31356405.275399886,-696501119.1123966,-349388732.98586226
13,2033,0.04745098729248948,0,175,825,0,0,0,1000,0,242026473973.32977,235871286366.7693,6155187606.565217,11319394117.607332,201473177.0136419,0,8851882227.717651,5074141841.504913,2811652901.046968,1532456.4739135855,0,487875288.534415,414582080.54728377,104640441.5502947,100937.98071779724,0,0,4694164.985136371,48.285658428434445,0,0.005792777073438795,0.0021360506167466043,0.011716480670309313,0.0227846994313265,-0.1128644948215159,189999286.03913024,48399437.174189724,-6028164.430558425,39876557.59499475,34207282.07556424,-865024565.3423074,-433860918.19517076
14,2034,0.04696044451987401,0,158,842,0,0,0,1000,0,252917665302.13074,245057345348.61948,7860319953.5154295,11664166039.324518,255759597.84109637,0,11054594878.080086,6426391347.305256,2943932752.3172946,0.0,0,599925146.1521758,516106043.55357283,106327482.62568262,0.0,0,0,7711031.357543857,48.285658428434445,0,0.005789903216078752,0.0021360506167466043,0.010813944421250561,0.021575780952325582,-0.10843901467977458,237404812.19603574,60475276.15638477,-10827015.082478354,45368839.62280946,36543786.11006628,-1058012992.58509,-530697521.9819597
15,2035,0.04644513338839637,0,147,853,0,0,0,1000,0,264298960240.7286,254418885637.87347,9880074602.857056,12005498579.325418,319118341.36453784,0,13615709943.511791,8037335911.111573,3078739546.5913243,0.0,0,727919204.8211467,632453754.0698768,107912118.21201989,0.0,0,0,12115704.834466543,48.285658428434445,0,0.005786859709965966,0.0021360506167466043,0.01004678644985632,0.020530689250842768,-0.10418706009641115,293295529.270442,74712588.86452845,-16607150.827329125,52810368.503944136,38219449.36030516,-1275119025.0354877,-639725904.8810833
16,2036,0.045907476797893386,0,129,871,0,0,0,1000,0,276192413451.56696,263950279531.42322,12242133920.140312,12343070985.37857,391949672.0589013,0,16556751417.61969,9941834069.082422,3215992244.644454,0.0,0,871853477.6573681,764414890.0583516,109393562.33792657,0.0,0,0,18322516.60810865,48.285658428434445,0,0.005783662531929351,0.0021360506167466043,0.009323897866900993,0.01959938595526413,-0.10010182703696026,358645840.19409466,91359589.67068768,-23483289.468908865,67404404.57332978,39091479.622390255,-1508885943.72115,-757039649.209955
17,2037,0.04534975322749448,0,118,882,0,0,0,1000,0,288621072056.8847,273650785752.724,14970286304.159761,12676610437.878632,474607044.1346156,0,19910251725.32462,12164207252.930222,3355680172.103567,0.0,0,1032923631.7713828,911204918.1445484,110773723.7837807,0.0,0,0,26802100.72702431,48.285658428434445,0,0.00578032671452234,0.0021360506167466043,0.00871438559101553,0.018880024267119287,-0.09617677825696391,434020835.5162248,110560226.82385547,-31521752.91714496,83649325.51948732,39004351.942057274,-1769261374.3450606,-887613303.7162706
18,2038,0.044774104139395074,0,103,897,0,0,0,1000,0,301609020299.4399,283515171258.0083,18093849041.435566,13006035288.803114,567253878.4236736,0,23697844289.26947,14743937517.101841,3497727972.8681703,0.0,0,1211166277.9696066,1073127132.1086456,112052513.33883858,0.0,0,0,38075234.41051652,48.285658428434445,0,0.005776866394259734,0.0021360506167466043,0.008172584093465775,0.0181319840889717,-0.09240563284098574,520453144.2056999,132577546.89617883,-40844049.887917854,105166890.45136744,37748559.36806899,-2052518289.3987684,-1030061954.9850619
19,2039,0.04418254102879403,0,92,908,0,0,0,1000,0,315181426212.91693,293544145336.7159,21637280876.2027,13331124952.679789,670193687.4786507,0,27951232689.708317,17716605030.703106,3642145860.8114305,0.0,0,1407629737.4124026,1249612659.4978368,113232803.89621322,0.0,0,0,52705119.748169646,48.285658428434445,0,0.005773294857553359,0.0021360506167466043,0.007657753850483388,0.01747069541282989,-0.08878235615180617,618786334.3469858,157626436.06621832,-51549031.654190004,132967876.16246481,35175591.94237584,-2356184726.544414,-1182640528.8032002
20,2040,0.04357695213626693,0,80,920,0,0,0,1000,0,329364590392.49786,303734968896.842,25629621495.657986,13651870620.647104,783519377.8054494,0,32709204939.778008,21117229378.800426,3788894392.900027,0.0,0,1623201876.2005415,1440528520.4376206,114315938.62858517,0.0,0,0,71288592.96272472,48.285658428434445,0,0.0057696245844523625,0.0021360506167466043,0.0072092475794495,0.01686779026306045,-0.08530115017371567,729789722.8169068,185902866.14325377,-63727126.52179235,165811284.73308462,31095956.96858743,-2684463868.555861,-1347501718.706152
21,2041,0.042959108838115594,0,67,933,0,0,0,1000,0,344185996960.16266,314079922462.07184,30106074498.09082,13968160094.38035,907428432.4604785,0,38008964596.99571,24986504103.904636,3937862408.257072,0.0,0,1858637191.315315,1646131234.7427266,115301305.56474736,0.0,0,0,94446520.97126766,48.285658428434445,0,0.0057658672902894115,0.0021360506167466043,0.006798212500718233,0.016301504217127824,-0.08195644423445236,854359677.0059804,217635173.12847075,-77484066.64066027,204031740.3577237,25317522.45124764,-3036789821.043743,-1524321540.534468
22,2042,0.04233067172953547,0,53,947,0,0,0,1000,0,359674366823.3655,324571258758.20984,35103108065.16064,14279744108.015121,1042256605.8834554,0,43880249474.36409,29370625274.914948,4088938345.7176943,0.0,0,2114369903.749172,1867026037.9295347,116188655.78357273,0.0,0,0,122813297.19550197,48.285658428434445,0,0.0057620339653284775,0.0021360506167466043,0.006422562170876677,0.0157676043630211,-0.07874288609093814,993503746.002968,253080014.87484375,-92938620.00495204,250081839.4077323,17631282.053033628,-3411297304.2060876,-1712355277.8766682
23,2043,0.041693196414774494,0,41,959,0,0,0,1000,0,375859713330.4262,335206778594.78937,40652934735.63232,14586398080.94662,1188316188.0911176,0,50345700132.56876,34311303190.88396,4242090536.8738728,0.0,0,2390855142.4942174,2103391608.4945953,116980283.40247819,0.0,0,0,157025526.61011562,48.285658428434445,0,0.00575813491250734,0.0021360506167466043,0.006069495939916499,0.015291466486629473,-0.07565533336454774,1148018014.4318523,292440181.8693638,-110184304.3792877,303552244.1458252,7863289.321868064,-3790253388.2542777,-1903859545.2730296
24,2044,0.04104813901781897,0,27,973,0,0,0,1000,0,392773400430.2965,345991685787.5533,46781714642.73694,14888078883.503023,1345739256.2366235,0,57410490482.657845,39844118469.20509,4397393917.073432,0.0,0,2687324112.3211474,2355654391.144582,117681384.06692977,0.0,0,0,197710293.1430788,48.285658428434445,0,0.005754179783361545,0.0021360506167466043,0.005752998623744667,0.014838570866068011,-0.07268884531220587,1318444955.5799255,335853860.9564878,-129284295.70757645,366270409.8197532,-4135841.606128046,-4172699065.3898335,-2097578200.074523
25,2045,0.04039686142653156,0,8,992,0,0,0,1000,0,410448203449.6473,356945865214.2512,53502338235.40268,15184955868.353266,1514446660.6779711,0,65042304235.03498,46006280584.65978,4555134829.88136,0.0,0,3001160177.247104,2624530545.5082765,118302342.07380348,0.0,0,0,245473631.8030644,48.285658428434445,0,0.005750177612214954,0.0021360506167466043,0.005464817818769533,0.014450485506734036,-0.06983867492014426,1505320933.7378125,383457682.8064032,-150299854.65172854,439730828.7815369,-18510060.25762273,-4378439705.122119,-2200033154.336038
26,2046,0.03974063628258418,0,0,1000,0,0,0,1000,0,428918372604.8779,368119261069.93005,60799111534.95779,15477580671.247152,1693978241.9605322,0,73264488869.0145,52733522557.91594,4716032474.918983,0.0,0,3333310630.52932,2905163462.586492,118863508.13593529,0.0,0,0,300889940.1387711,48.285658428434445,0,0.005746136848716123,0.0021360506167466043,0.005236925182476037,0.014165760703016304,-0.0671002613076668,1706096824.0981984,434602296.52662617,-172928023.38801676,520336556.8627905,-34904798.17812531,-4378439705.122119,-2200033154.336038
27,2047,0.039080651728970954,0,0,1000,0,0,0,1000,0,448219699372.1138,379538672716.8702,68681026655.23802,15767240076.639753,1883139983.1655903,0,82071521737.27606,59939276722.85731,4880472764.768628,0.0,0,3683307720.475684,3191898622.186014,119374948.78624839,0.0,0,0,364492964.84919655,48.285658428434445,0,0.005742065388797727,0.0021360506167466043,0.005060934419763546,0.013922642158873523,-0.06446922242876753,1917660519.5955865,488494940.03085697,-196801733.80272564,603041694.5145506,-52838160.87998255,-4378439705.122119,-2200033154.336038
28,2048,0.03841801592635455,0,0,1000,0,0,0,1000,0,468389585843.8578,391241687883.66016,77147897960.1926,16054527982.53283,2081432063.295589,0,91384985599.41144,67559383519.14981,5048996965.167996,0.0,0,4047283958.062146,3480368473.3178806,119849380.964788,0.0,0,0,436768357.98902565,48.285658428434445,0,0.005737970604131854,0.0021360506167466043,0.004918956066213517,0.013683410623992896,-0.06194134805992193,2137674228.591948,544540096.3470592,-221643829.9604628,687535927.8801454,-71935067.1938563,-4378439705.122119,-2200033154.336038
29,2049,0.03775376134899024,0,0,1000,0,0,0,1000,0,489467117206.8342,403317043594.41864,86150073612.40735,16340249237.09433,2288145039.138509,0,101102674170.25919,75510219622.57068,5222882894.919945,0.0,0,4420618272.344323,3765249258.307902,120315066.12152424,0.0,0,0,518147468.57155937,48.285658428434445,0,0.005733859370151056,0.0021360506167466043,0.004810366533016856,0.013504369720901577,-0.05951259306283124,2363344639.730592,602026211.7618767,-247119586.9080819,773196314.3142642,-91732270.18658553,-4378439705.122119,-2200033154.336038
30,2050,0.037088848870486295,0,0,1000,0,0,0,1000,0,511493137481.1391,415888466124.42444,95604671356.70937,16626347933.478245,2501431569.192711,0,111106046605.00665,83694797069.18207,5403912220.241162,0.0,0,4798283207.930845,4040579150.8385253,120808217.76043513,0.0,0,0,609002308.0838195,48.285658428434445,0,0.005729738092701883,0.0021360506167466043,0.004733786602683235,0.01338361535305224,-0.05717907091133806,2591632793.339852,660179157.3784595,-272862645.5122683,859401669.4610314,-111717119.19228995,-4378439705.122119,-2200033154.336038
