,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006070936439528768,0.002178382431140049,0.1200089867552926,0.26991248232454523,-0.17037863285284874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,46,881,25,48,15,985,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,1099515.9641769377,87031795.5842353,102554767.44120502,7072461.666366457,0,83326.7925537451,6680812.9188782405,5572577.34426172,540259.5020042489,0,0,0.0,0.0,0,0.005837409011223115,0.002178382431140049,0.033634269621662785,0.26991248232454523,-0.1701245657943976,4009741.5259541455,1019649.0103787235,72197.74494978777,9891648.342683611,1881851.6897086855,530.9934674024942,12553.216341615736
2,2022,0.05972962709646766,0,87,913,0,0,0,1000,0,55634391075.99874,55633695843.94285,695232.0571424036,3298899208.6963573,0.0,0,82714137.91822708,147066440.38460165,221798069.84292996,7350919.349937753,0,5232424.49166222,12155108.205504606,11645897.456275968,557372.8570943667,0,0,0.32486934098128556,0.0,0,0.0058293695927150255,0.002178382431140049,0.03890561470491963,0.06163456138960984,-0.16345388615563183,6718194.418411912,1708389.4924213414,400482.5555065776,13129772.441272808,3513680.430017474,-9413882.610690923,-4699400.224527264
3,2023,0.05836688665777374,0,198,802,0,0,0,1000,0,64869699994.6152,64817143833.12759,52556161.488385856,3720701787.5380893,37027.4893431203,0,212996571.72246218,223685197.94775406,360945183.20967007,6312131.065320242,0,13556863.859953847,18964998.12291771,18392086.29920065,473608.34665810835,0,0,23.79198929467515,0.035495842590267945,0,0.005821084371701131,0.002178382431140049,0.03551892058904805,0.05530956405978057,-0.1570447676067372,10099245.991833417,2568167.078723068,749866.1567260766,16888156.909638148,5332208.78213411,-22779679.457741722,-11426049.809569567
4,2024,0.05698711329906456,0,229,770,0,1,0,1000,0,75638070193.72394,75484066826.79124,154003366.93101558,4195349522.3826127,2717466.547794926,0,402227651.1246957,327494982.11351204,524675247.6620028,4851626.304906375,0,25469744.51825925,28027623.926100686,26009804.768394463,356950.8587405132,0,0,82.4972108521677,0.17703573226625657,0,0.0058126294334432645,0.002178382431140049,0.03141200900326583,0.04850075193566463,-0.15088695419068396,14575675.017860126,3706491.431271603,1085736.4059680447,19944052.16103348,7408578.737437425,-42785935.20349095,-21467182.580590602
5,2025,0.055598969189164155,0,252,746,1,1,0,1000,0,88193989845.88063,87883033128.37047,310956717.5096319,4730376852.801828,7805815.60016001,0,679102180.2274449,470406463.60931987,704612918.0312486,2938138.0929533383,0,42607333.72739753,40308652.18832662,33817946.84203653,208608.73733531247,0,0,1258.304283831878,0.9058501638042712,0,0.005804068816742955,0.002178382431140049,0.027621826239409383,0.043081108719387466,-0.14497059209226953,20592545.545441546,5236539.201012926,1373033.3832278918,22475607.553576887,9770600.423114892,-71381063.61628023,-35838690.794961035
6,2026,0.054209698950969866,0,240,756,0,4,0,1000,0,102834192160.29462,102290455382.36044,543736777.935916,5333899334.688365,15445555.347621804,0,1055232143.481841,663814002.750227,912081008.2258476,4485208.705118724,0,65379891.21957478,56795803.08364607,42384307.457204394,307920.0173955143,0,0,9303.151262466714,12.906033493501713,0,0.005795456264851932,0.002178382431140049,0.024402577208170868,0.03878647935487627,-0.13928621386991183,28537053.89280896,7256771.682808905,1586161.5995991633,25238609.48655697,12414585.47280025,-108388998.19218586,-54455639.40529313
7,2027,0.05282533692132992,0,248,751,0,1,0,1000,0,119904668058.90309,119037510421.12633,867157637.7790527,6014457773.088496,26441306.816662636,0,1557392464.9370203,924606219.6628476,1153241032.2977614,4380644.952129132,0,95140490.95515852,78845866.27763867,51915183.095898256,294912.0849516515,0,0,39563.799697519265,78.82735952346303,0,0.0057868367260506355,0.002178382431140049,0.021579689968444088,0.03519283079847173,-0.13382472330572315,38981814.93174385,9912800.802904865,1680885.1338695604,27315560.12251852,15329848.871798448,-158129176.649324,-79480659.90056516
8,2028,0.0514508847429268,0,224,775,0,1,0,1000,0,139808842956.6815,138505246679.71014,1303596276.973457,6782152843.231469,41267113.450022474,0,2210387091.0832353,1271730134.301474,1433578943.0454695,4171581.6197966826,0,132876675.42564109,108043816.90891676,62538669.5453103,281036.15012855915,0,0,123328.18464188141,138.66810527253614,0,0.005778247639563795,0.002178382431140049,0.019223813256846776,0.03217816091808348,-0.1285773808496206,52529144.537185766,13357791.243323889,1613319.6224945923,29632701.771488737,18478726.02217215,-221150675.58783433,-111171130.24867015
9,2029,0.05009046351667033,0,219,781,0,0,0,1000,0,163017110887.49374,161140146629.98254,1876964257.5107348,7648190793.804671,60682438.35572201,0,3044503656.119765,1725137089.2552536,1759523035.3813705,3531242.8380866414,0,179912331.0051147,145923075.29099387,74401231.52528492,236773.13916105477,0,0,315276.0826866527,138.66810527253614,0,0.005769720037405046,0.002178382431140049,0.01718853309669946,0.029792929154755756,-0.12353578963418162,69764010.55632497,17740496.204897065,1347077.7776529307,32688858.16061339,21817230.037145678,-298571903.793893,-150164927.41076714
10,2030,0.04874744414096422,0,212,788,0,0,0,1000,0,190077951294.8198,187462746533.80597,2615204761.0113807,8625363244.334368,85435337.45524421,0,4094760856.737565,2305733312.0689273,2138570256.8343399,-67539.1406523797,0,237699406.8253065,194056545.38148975,87668633.55515166,-3755.106600194354,0,0,701821.4821263695,138.66810527253614,0,0.005761279488386298,0.002178382431140049,0.01550836363464032,0.027694405603121343,-0.11869188203786475,91250038.85403101,23204241.77276432,854460.8562381779,35829613.57629656,25274770.8340496,-393117667.256395,-197815618.82783005
11,2031,0.048347307021661644,0,191,809,0,0,0,1000,0,221630891209.75455,218080156360.10977,3550734849.6470575,9728152645.327604,116364037.72113948,0,5382914914.893308,3040711592.242824,2579463032.0811176,-67539.1406523797,0,306549613.1375688,254442304.8683878,102528602.64661731,-3755.106600194354,0,0,1410113.4549472204,138.66810527253614,0,0.00575294690678948,0.002178382431140049,0.01404415293879156,0.02581430891011049,-0.1140379067750938,117719996.24546514,29935365.38366096,93716.06953410785,41104372.72784064,28771869.39399675,-504015276.2543417,-253760320.2661121
12,2032,0.047914186611052303,0,186,813,0,1,0,1000,0,231604281314.20035,226895050626.6502,4709230687.545702,10972963634.849499,154399852.7025095,0,6944241738.11276,3952830576.3840504,2706398106.806409,1863830.3274282066,0,388807100.96606565,327330017.8270647,104414058.9544347,121433.68362119359,0,0,2616374.4875205494,138.66810527253614,0,0.0057504643102932115,0.002178382431140049,0.012804114455481498,0.024290832206172196,-0.10956641649254727,150299965.50884122,38220221.95173257,-3239106.2955087963,46957427.82547835,32097714.817162063,-635286699.16096,-319810435.3225842
13,2033,0.04745098729248948,0,173,827,0,0,0,1000,0,242026473973.32977,235904035572.82803,6122438400.506705,11320758558.789179,200108735.83180586,0,8808813680.62671,5071787314.898242,2836128100.5331364,1863830.3274282066,0,485392587.04285073,414132713.1718282,106204002.07728092,121433.68362119359,0,0,4553025.779454733,138.66810527253614,0,0.005747777073438808,0.002178382431140049,0.011762573870615882,0.0229420658422802,-0.10527025585180434,189909916.29082558,48292753.274406694,-7433548.096614295,53980839.302543074,35088152.22839346,-787791263.0911521,-396477825.875214
14,2034,0.04696044451987401,0,153,847,0,0,0,1000,0,252917665302.13074,245096619521.22598,7821045780.908768,11665706183.364016,254219453.80159897,0,11004040126.966541,6423707450.775214,2968501932.4043407,1863830.3274282066,0,596919817.5731878,515733550.9394674,107893913.60503647,121433.68362119359,0,0,7513612.550094865,138.66810527253614,0,0.005744903216078746,0.002178382431140049,0.010856992796197054,0.02174515419731611,-0.10114255007927665,237303895.79568902,60344708.24139034,-12584531.963908415,63670063.46607952,37596887.14735902,-961435873.6255925,-484157617.37197095
15,2035,0.04644513338839637,0,142,858,0,0,0,1000,0,264298960240.7286,254465292571.88156,9833667668.849253,12007281175.912834,317335744.77714115,0,13552440445.704576,8042821872.234351,3103411459.359951,-6.491198305818611e-28,0,724097828.8783171,632675814.7015665,109481540.92047966,3.51606574898508e-29,0,0,11854701.516648596,138.66810527253614,0,0.005741859709965958,0.002178382431140049,0.010041718017537503,0.02068102373529211,-0.09717669396510399,293478060.9867292,74629402.54778092,-18816925.746735144,76589599.56957723,39463727.149192505,-1156489909.4813502,-582661265.0221986
16,2036,0.045907476797893386,0,129,871,0,0,0,1000,0,276192413451.56696,264007348741.6714,12185064709.892065,12345110785.733059,389909871.70443374,0,16482093910.014277,9952380874.831459,3240817715.066592,-2.603222134740739e-88,0,867544359.3101934,764810348.3619113,110967508.10139611,8.415588797653252e-91,0,0,17994568.792394157,138.66810527253614,0,0.005738662531929369,0.002178382431140049,0.009349518203665072,0.019804141556240246,-0.0933663412934092,359002028.03521353,91291685.57141726,-26202000.861249845,92721306.80413036,40537455.64516441,-1371689986.1825461,-691137042.5062466
17,2037,0.04534975322749448,0,119,881,0,0,0,1000,0,288621072056.8847,273718976123.86172,14902095933.022133,12679023351.527927,472194130.4853489,0,19825409531.912216,12178742318.079008,3380665807.8164515,-2.603222134740739e-88,0,1028291586.4099829,911636565.8757297,112352122.56726505,8.415588797653252e-91,0,0,26408888.579109237,138.66810527253614,0,0.005735326714522362,0.002178382431140049,0.008741378189199114,0.01897613318178622,-0.08970539468699902,434512290.9333655,110493413.24866869,-34819459.24533655,113620759.08325228,40678948.9048278,-1606047983.908882,-809206863.1128112
18,2038,0.044774104139395074,0,103,897,0,0,0,1000,0,301609020299.4399,283593890652.55597,18015129646.887646,13008825872.10018,564463295.1266048,0,23606021538.80689,14759228635.44091,3522865246.6435122,3.4355422558877587e-119,0,1206266717.2589645,1073557421.6430314,113634804.81869705,1.030818271977191e-121,0,0,37623937.12252806,138.66810527253614,0,0.005731866394259728,0.002178382431140049,0.008193340579841153,0.018250074354918714,-0.08618799585025959,520969930.72960085,132478981.71668452,-44789686.44111508,137842736.7664249,39691608.00457118,-1864239031.8703973,-939264689.8940966
19,2039,0.04418254102879403,0,92,908,0,0,0,1000,0,315181426212.91693,293631150043.1597,21550276169.75912,13334262529.378448,667056110.779963,0,27857505340.025787,17727175609.76552,3667402462.5930405,3.4355422558877587e-119,0,1402646599.5789056,1249853437.8408396,114817726.89904551,1.030818271977191e-121,0,0,52207984.48082602,138.66810527253614,0,0.005728294857553352,0.002178382431140049,0.0076986584006439665,0.01759008844192115,-0.08280851619463367,619146969.6416843,157444710.78442013,-56209047.63410086,166114589.2500958,37425021.27945173,-2143688053.6227932,-1079761154.9325128
20,2040,0.04357695213626693,0,80,920,0,0,0,1000,0,329364590392.49786,303826224361.3638,25538366031.13674,13655273177.380386,780116821.0721676,0,32614125203.533287,21121594985.893852,3814212224.312646,3.4355422558877543e-119,0,1618135575.159939,1440544944.1616168,115901556.0353396,1.0308182719771908e-121,0,0,70761619.48315687,138.66810527253614,0,0.005724624584452358,0.002178382431140049,0.007245194273370671,0.016953231445762412,-0.07956154783167817,729947815.0361527,185620584.87114483,-69190712.68752669,200606034.80862656,33690094.83574222,-2443605316.1208177,-1230953772.9868636
