,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006140836439528768,0.0022187505981752643,0.11676868352946237,0.21793040559688448,-0.1809137796433596,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,60,812,42,86,9,991,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,2315807.0306058708,79155948.12381567,102709127.70423801,11453638.208599282,0,176235.22143578468,6081349.937282216,5587137.762173727,878468.8026046824,0,0,0.0,0.0,0,0.0059073090112231165,0.0022187505981752643,0.03411593011284729,0.21793040559688448,-0.18064400267040456,3646884.337933023,979793.4776909926,185994.3397006454,8673081.889930118,1681745.2066054903,-145945.2970194236,-69949.78676238077
2,2022,0.05972962709646766,0,265,735,0,0,0,1000,0,55634391075.99874,55632926776.747444,1464299.2525774378,3298899208.6963573,0.0,0,97502827.58318199,129119538.14187142,216743837.53798082,10440819.634166515,0,6469266.232331676,10626573.870063797,11327066.85183555,802052.9239835304,0,0,0.6799548887624901,0.0,0,0.005899269592715027,0.0022187505981752643,0.04101955926650381,0.05244712584248646,-0.1735608500119288,5900983.289496247,1585393.0103768895,613245.4537174453,9373463.2222424,3089411.647771375,-12355644.501006633,-6453749.155067168
3,2023,0.05836688665777374,0,257,743,0,0,0,1000,0,64869699994.6152,64807510094.50175,62189900.11428192,3720660827.649822,77987.37761432688,0,237221138.5635891,199355478.13583714,348858445.1460439,9167177.640394434,0,15523222.507147314,16874168.72134628,17630008.658053204,706009.1220958988,0,0,27.875590127205477,0.10424176278926602,0,0.005890984371701136,0.0022187505981752643,0.0359819596833362,0.043033418557083467,-0.16675543174176152,9000372.30310171,2418093.1617830964,1055264.9285371504,11515985.613644809,4720181.398427148,-29462400.156697277,-15377604.16006235
4,2024,0.05698711329906456,0,258,741,0,1,0,1000,0,75638070193.72394,75465207240.7284,172862952.99378303,4194850390.7684712,3216598.161932558,0,436760452.9458861,298931849.79874414,502329988.005006,6324179.007586236,0,28181273.4327568,25570549.09243141,24590379.899473637,486628.0895289673,0,0,105.94629367875018,0.10424176278926602,0,0.005882529433443262,0.0022187505981752643,0.031279127611984446,0.038149516441137815,-0.16021685773877062,13294250.418737868,3571711.8076886334,1493830.9512927874,13425414.904941374,6607197.469113218,-54070431.22779311,-28243009.981896967
5,2025,0.055598969189164155,0,228,772,0,0,0,1000,0,88193989845.88063,87854263296.27515,339726549.6050021,4729414974.758572,8767693.64341654,0,712698476.7650832,438162592.3432787,680733213.7115378,3400730.581296516,0,45259516.111910924,37600104.307589725,32301950.78381193,262314.84679603257,0,0,1539.976560526021,0.10424176278926602,0,0.005873968816742948,0.0022187505981752643,0.027198345639671738,0.034323959931816174,-0.15393466488958096,19156154.183090456,5146605.48211216,1909797.8552862825,15092276.963697499,8752268.313132064,-87698237.88925155,-45817252.78735486
6,2026,0.054209698950969866,0,234,766,0,0,0,1000,0,102834192160.29462,102258633754.71585,575558405.5803112,5332455073.1837635,16889816.85222707,0,1085169811.0165744,629433347.7303791,888157100.1788858,1936860.5063579602,0,67805416.83381988,53942961.207042,40866874.27716509,149207.4164984105,0,0,10932.657672542793,0.10424176278926602,0,0.005865356264851932,0.0022187505981752643,0.023892846356017235,0.031117485449975314,-0.1478988003453613,27012890.89319892,7257442.753376629,2281282.0896725236,16533747.049682837,11141476.369373444,-132114028.1279502,-68992158.95405523
7,2027,0.05282533692132992,0,221,779,0,0,0,1000,0,119904668058.90309,119006880030.07886,897788028.8265604,6012869354.969574,28029724.935584344,0,1580058578.8963273,888282955.3819438,1129332953.5424356,315614.36078829225,0,97055475.44601142,75907627.5736288,50399132.75668077,25003.727767436267,0,0,45366.63290893744,0.10424176278926602,0,0.005856736726050639,0.0022187505981752643,0.021103765836650114,0.028432647858190323,-0.1420996054351211,37379850.18726591,10042691.24457828,2580651.3255705503,18028895.457185816,13741685.448466687,-188956269.860709,-98675709.21799046
8,2028,0.0514508847429268,0,217,783,0,0,0,1000,0,139808842956.6815,138479652137.5039,1329190819.179705,6780619032.114241,42800924.56725405,0,2224751216.5742693,1231105846.2084653,1409742159.2587347,0.0,0,134285054.07946423,104801481.84342822,61026328.54547194,0.0,0,0,138609.92254493554,0.10424176278926602,0,0.005848147639563796,0.0022187505981752643,0.01882782648171496,0.026077182693842606,-0.13652780020977645,50759322.19268021,13637299.186897641,2785902.3288179953,19268904.041369326,16503377.27244328,-260867716.2334315,-136184217.88749403
9,2029,0.05009046351667033,0,201,799,0,0,0,1000,0,163017110887.49374,161121653131.64703,1895457755.8462193,7646881006.485159,61992225.67522209,0,3047635152.669689,1680453165.6865704,1735788470.7955778,0.0,0,180609808.15140274,142414268.50312895,72893643.46991654,0.0,0,0,348274.18770360056,0.10424176278926602,0,0.00583962003740505,0.0022187505981752643,0.0167820083592673,0.02404379743165073,-0.13117446859225151,67839873.69867554,18226260.999277066,2860519.5683646365,20449272.246640574,19371919.015026893,-350654046.5957834,-183024995.02759033
