,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006170036439528775,0.002205523743610311,0.119459669297298,0.25246676817724323,-0.2256186495903208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,53,881,28,38,19,981,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,3820803.194975689,86823865.05808191,100884199.41488609,6781554.536283578,0,290692.37549637235,6663236.048022212,5444881.556765679,515261.5432690251,0,0,0.0,0.0,0,0.005936509011223114,0.002205523743610311,0.03353270267192447,0.25246676817724323,-0.22528220912432276,4000161.720555051,1080846.0389385025,156004.58633392557,9609612.930072997,1806046.3090208545,-189014.44539590713,-94467.51694896766
2,2022,0.05972962709646766,0,108,892,0,0,0,1000,0,55634391075.99874,55631975151.03559,2415924.9644702263,3298899208.6963573,0.0,0,92391013.85467477,146245801.22002763,214905264.63374364,6615853.572277557,0,5913643.764801061,12072736.833814269,11184105.343187382,502341.59185171605,0,0,1.11787000495842,0.0,0,0.005928469592715026,0.002205523743610311,0.03896273922192186,0.057247406354303004,-0.2164487673555545,6680972.36594892,1805202.6449049427,542956.8680103399,12183761.422918677,3378355.280961111,-15293540.047760924,-7712500.259043449
3,2023,0.05836688665777374,0,202,798,0,0,0,1000,0,64869699994.6152,64810392409.28968,59307585.32638586,3720610144.8446407,128670.18279247232,0,231540277.56482714,222441289.6057939,347075149.4595564,4876538.220979249,0,14817603.630040303,18838575.673868444,17489840.469637908,373781.6944483654,0,0,26.50407600433841,0.12288005718540773,0,0.005920184371701138,0.002205523743610311,0.03537496205115993,0.05125994408361466,-0.2079616897927549,10043345.811928786,2713717.9186361944,963688.0391026093,14875447.191629548,5130772.076451832,-36471610.0645657,-18415421.87350158
4,2024,0.05698711329906456,0,241,759,0,0,0,1000,0,75638070193.72394,75469859089.08958,168211104.63276687,4194997865.689667,3069123.2407429344,0,432222149.19268155,326036273.4085043,500572256.183624,3240552.4245055546,0,27488836.587574612,27861730.3609288,24451394.057772942,248607.69410836228,0,0,122.65947386382771,0.32518660733415616,0,0.005911729433443262,0.002205523743610311,0.031284856021508566,0.045148607704554526,-0.19980739530115035,14510512.333581055,3920748.9282566146,1392345.294511416,16254358.189111184,7121779.8947400935,-67603488.87941521,-34179325.07455143
5,2025,0.055598969189164155,0,243,757,0,0,0,1000,0,88193989845.88063,87858843349.86127,335146496.01899767,4729651205.249123,8531463.152858317,0,711102200.1403118,469012397.62603927,678974645.345398,1608398.4178489493,0,44736217.93623746,40158133.35097253,32162823.674109336,122496.4605877409,0,0,1580.400492667899,5.8317241780667555,0,0.005903168816742952,0.002205523743610311,0.027407785661398332,0.03992244887115143,-0.19197283526987882,20530104.45415911,5547246.243632513,1802785.1911003739,16937568.826719694,9376757.693615124,-110239825.15205516,-55740902.4611211
6,2026,0.054209698950969866,0,240,760,0,0,0,1000,0,102834192160.29462,102261327152.47804,572865007.818358,5332687809.047449,16657080.988539217,0,1089094767.9128528,664197024.5126535,886371570.865363,399202.3428416293,0,67609960.36423975,56782952.16638058,40726414.05306329,30715.67630738949,0,0,10783.046986411618,11.046604847215557,0,0.005894556264851933,0.002205523743610311,0.024179324486133878,0.03614834093825268,-0.1844454727314282,28547609.37907725,7713580.768493982,2171975.732593009,16456618.559086764,11883192.477578107,-167405266.72048244,-84664068.54686898
7,2027,0.05282533692132992,0,240,760,0,0,0,1000,0,119904668058.90309,119005388611.91011,899279446.9954952,6013012971.522482,27886108.382678017,0,1590288962.3292792,926934434.35967,1127487285.0402083,0.0,0,97267029.85608377,78985262.55518216,50255944.03349182,0.0,0,0,44382.41736356244,11.046604847215557,0,0.005885936726050638,0.002205523743610311,0.021375144772652514,0.0328388648807183,-0.17721326229981404,39070275.63932169,10556811.352901181,2474049.273234857,14695955.521864766,14621103.377079763,-242209972.5730326,-122454788.92725024
8,2028,0.0514508847429268,0,220,780,0,0,0,1000,0,139808842956.6815,138472635031.616,1336207925.067844,6780570814.189262,42849142.49224028,0,2242719931.670631,1274764852.7331867,1407817062.4757662,0.0,0,134941992.68699735,108228315.96458149,60879738.30038102,0.0,0,0,135584.00556057508,11.046604847215557,0,0.005877347639563792,0.002205523743610311,0.019078739696922455,0.030172527052037514,-0.17026463089539184,52645178.21960167,14224757.978028066,2683355.3299295064,11701431.009348094,17536814.959354144,-337257224.6159284,-170450546.4216838
9,2029,0.05009046351667033,0,219,781,0,0,0,1000,0,163017110887.49374,161107711273.15045,1909399614.3428385,7646586973.88485,62286258.27554006,0,3076555921.0078635,1727705970.0108383,1733763821.7976727,0.0,0,181971967.2112707,146022702.07688466,72743010.48009422,0.0,0,0,341476.1608227689,11.046604847215557,0,0.0058688200374050516,0.002205523743610311,0.017114778288726797,0.02788363787697858,-0.16358845922546086,69862336.8572221,18876844.32234359,2774908.2383439103,7699738.429687695,20572282.53071718,-455178958.6025592,-230038427.76313505
