Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,EoL-repaired,EoL-sold,EoL-recycled,EoL-landfilled,EoL-stored,EoL-new repaired weight,EoL-new sold weight,EoL-new recycled weight,EoL-new landfilled weight,EoL-new stored weight,EoL-used repaired weight,EoL-used sold weight,EoL-used recycled weight,EoL-used landfilled weight,EoL-used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006067736439528761,0.002104513811624827,0.1212272274470611,0.28642615483429684,-0.2141590149088665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.06106501304191908,0,56,914,9,21,8,992,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,1980657.3868484937,86234246.08423294,100266505.94801845,4930304.737372701,0,149918.83847256875,6637664.11867148,5398818.736470545,376777.88267012406,0,0,0.0,0.0,0,0.005834209011223113,0.002104513811624827,0.034303179644165856,0.28642615483429684,-0.2138396629452569,3972996.7095603654,1053058.4426600756,164403.0166307949,9704210.841098484,1855813.6386774518,-230953.80004316728,-113009.84433645797
2022,0.05972962709646766,0,75,925,0,0,0,1000,0,55634391075.99874,55633138694.33182,1252381.6682027597,3298899208.6963573,0.0,0,78292412.17393866,145259236.53004897,219859094.24827805,5069409.713805541,0,4945226.5309772035,12037949.49700745,11478111.98805641,386196.17846576305,0,0,0.5800101595237184,0.0,0,0.00582616959271503,0.002104513811624827,0.03985382064161504,0.06556527935056987,-0.20545488982969523,6635899.215802668,1758871.2512715964,557050.7225669032,13017975.492743775,3463118.689005374,-11820270.225003568,-5944511.822894892
2023,0.05836688665777374,0,188,812,0,0,0,1000,0,64869699994.6152,64819734849.18326,49965145.43276406,3720672114.20661,66700.82082161304,0,198815991.59149086,219408113.3162425,362163070.34816754,4846715.220406385,0,12629036.75148551,18654201.6792632,18431695.20483663,360763.8815520185,0,0,22.471834249880384,0.018431017964873894,0,0.0058178843717011245,0.002104513811624827,0.0368189316009316,0.059654605184585825,-0.1973988883705752,9907959.276535949,2626143.671496505,992455.3146081493,16656477.945338663,5235648.313380601,-27701046.071993995,-13939111.735184021
2024,0.05698711329906456,0,234,766,0,0,0,1000,0,75638070193.72394,75493985977.2366,144084216.4856407,4195482562.4137344,2584426.5166708585,0,375379734.90458417,319595056.6146979,529956924.60789734,4740003.4463272225,0,23764811.064269014,27421578.462642852,26288210.245021775,343726.4551881634,0,0,88.96320464523913,0.018431017964873894,0,0.005809429433443259,0.002104513811624827,0.032328855773907095,0.052428271161020494,-0.18965876724685696,14228166.13000543,3771231.5317850634,1443703.4218955585,19387773.59033584,7266078.290186076,-51325884.03339854,-25740455.73475553
2025,0.055598969189164155,0,245,755,0,0,0,1000,0,88193989845.88063,87903656414.86815,290333431.011911,4730877454.517026,7305213.884955919,0,623097111.0857548,457748898.3128376,727400752.0972475,5285972.7307576565,0,39085463.03373602,39338974.79365325,35173830.996444255,367649.45518709294,0,0,1253.5789828746504,0.018431017964873894,0,0.005800868816742942,0.002104513811624827,0.02847808755533405,0.04628694085748799,-0.18222214061342878,20044730.129519142,5312934.753492073,1885159.4430345092,21259804.706527453,9564259.539960817,-85294036.98337324,-42761572.184866466
2026,0.054209698950969866,0,249,751,0,0,0,1000,0,102834192160.29462,102333450731.9037,500741428.3926533,5334920962.640719,14423927.3952595,0,975300681.4464197,646706504.4165741,949537495.5670791,3244841.2158243163,0,60434751.64009588,55480364.11211808,44619165.98873988,220460.0449314495,0,0,8925.850444306101,0.018431017964873894,0,0.005792256264851931,0.002104513811624827,0.025101421566549695,0.0417559796304824,-0.17507710828111195,27806450.720442034,7370209.399144715,2294135.0346763013,22632858.091500834,12135242.68122644,-130475007.15964147,-65370486.213049784
2027,0.05282533692132992,0,238,762,0,0,0,1000,0,119904668058.90309,119103860643.5896,800807415.3158252,6016536182.47072,24362897.43444768,0,1461310804.6329284,900686067.1273655,1193575245.2264655,2134182.049018048,0,89235816.0015943,77025945.14296955,54313429.596898854,136642.58561497641,0,0,37429.08511657885,0.018431017964873894,0,0.005783636726050633,0.002104513811624827,0.02211159225652576,0.037935667919035757,-0.16821223667382013,37978364.103026725,10066315.147171644,2649173.0176424524,22651316.377949156,14973064.530651117,-191580604.02589044,-95999843.14499442
2028,0.0514508847429268,0,227,773,0,0,0,1000,0,139808842956.6815,138590396226.34848,1218446730.3353138,6785301854.027672,38118102.65382923,0,2098430590.9668813,1237885894.0283244,1474182445.1589181,2312820.839818089,0,126089639.4769302,105478712.25976124,64947337.966839075,143898.33263266445,0,0,115617.02419363502,0.018431017964873894,0,0.005775047639563798,0.002104513811624827,0.01974111946555575,0.034582410692550386,-0.16161654053239752,51138382.77440205,13554429.983538965,2921716.5884976396,22083202.916638322,18022118.55906147,-269241460.2021396,-134854871.88131708
2029,0.05009046351667033,0,218,782,0,0,0,1000,0,163017110887.49374,161242246335.95282,1774864551.5403636,7652176107.700738,56697124.45965366,0,2914794877.375938,1679959697.0169718,1800370350.8934166,1306449.1445733968,0,172175920.0151252,142524628.47650233,76818551.57786188,88468.1083567426,0,0,293647.1295770926,0.018431017964873894,0,0.005766520037405048,0.002104513811624827,0.017648058987696526,0.03175908486330757,-0.1552794653358609,67942453.99968235,18008415.317143913,3081219.028157995,21396802.48025278,21229625.152204763,-366073969.2283442,-183340186.33981752
