Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,EoL-repaired,EoL-sold,EoL-recycled,EoL-landfilled,EoL-stored,EoL-new repaired weight,EoL-new sold weight,EoL-new recycled weight,EoL-new landfilled weight,EoL-new stored weight,EoL-used repaired weight,EoL-used sold weight,EoL-used recycled weight,EoL-used landfilled weight,EoL-used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
2030,0.04874744414096422,0,203,797,0,0,0,1000,0,190077951294.8198,187582303582.80847,2495647712.008521,8630080314.446165,80718267.34342366,0,3940229458.7556443,2248756180.9525476,2179668645.194224,888847.6175494768,0,228552873.32551995,189872680.3457566,90094342.80455273,62861.65372084375,0,0,651073.812801802,0.018431017964873894,0,0.005758079488386303,0.002104513811624827,0.015823105391050966,0.029492463637196802,-0.14919087041191442,88991811.31421892,23587630.46708404,3108747.463512486,20365727.394217536,24552342.23086415,-484625557.95297843,-242656360.3283947
2031,0.048347307021661644,0,196,804,0,0,0,1000,0,221630891209.75455,218221827849.9881,3409063359.769084,9733601093.530354,110915589.51839818,0,5207464181.110892,2967327416.5087495,2620879504.483279,888847.6175494768,0,296435936.2562851,249104909.17511398,104964795.41828841,62861.65372084375,0,0,1305774.1072333206,0.018431017964873894,0,0.005749746906789472,0.002104513811624827,0.014359733935917359,0.02753863756920117,-0.14334101270971017,114870875.36408828,30446978.429864332,2994283.975541962,18915533.312004156,27877915.17682835,-627323262.3877565,-314094984.6634957
2032,0.047914186611052303,0,181,819,0,0,0,1000,0,231604281314.20035,227058080886.99646,4546200427.199169,10979311189.12243,148052298.42957306,0,6748312973.004387,3862480233.853126,2748122040.828443,-894975.6019332749,0,377637181.2487877,321072358.6828451,106859647.77625708,-48516.357949265555,0,0,2422723.369449758,0.018431017964873894,0,0.005747264310293214,0.002104513811624827,0.013142581023580372,0.025826153637415434,-0.13772053120888847,146844830.27805406,38921801.24720067,443985.883225111,18429902.9640538,30959151.151195355,-794315062.4145865,-397711383.96891886
2033,0.04745098729248948,0,170,830,0,0,0,1000,0,242026473973.32977,236087867708.25378,5938606265.081067,11327948831.275871,192918463.34513566,0,8587695818.775133,4961576043.525342,2878151474.3253965,-894975.6019332749,0,472981848.21811116,406847033.38216114,108658063.25120854,-48516.357949265555,0,0,4221697.857845416,0.018431017964873894,0,0.005744577073438805,0.002104513811624827,0.01204115187746713,0.024352360119355848,-0.132320431939948,185751724.01874524,49234226.83585586,-2802973.549228961,17927293.047165718,33669667.99322783,-989982013.7633243,-495539046.2239376
2034,0.04696044451987401,0,155,845,0,0,0,1000,0,252917665302.13074,245304027592.06116,7613637710.073269,11673692944.848948,246232692.31665474,0,10753210766.301062,6293040695.641481,3010864690.16652,-2.1015233420706433e-10,0,583170292.3047233,507433098.12804025,110357308.26555146,-7.323204092197601e-12,0,0,6983030.273120971,0.018431017964873894,0,0.005741703216078747,0.002104513811624827,0.01109612725388313,0.0231221732865802,-0.12713207359197579,232428599.93709102,61606116.836300865,-6833131.845435325,19287530.64980934,35845088.186629355,-1213094648.577421,-607288975.6534263
2035,0.04644513338839637,0,144,856,0,0,0,1000,0,264298960240.7286,254700156122.93884,9598804117.791908,12016143964.204521,308472956.48546237,0,13276632598.051111,7881193682.406424,3146169464.3956075,-2.1015233420706433e-10,0,709308961.6196365,622978913.1689836,111955586.40126134,-7.323204092197601e-12,0,0,11050743.279893814,0.018431017964873894,0,0.005738659709965959,0.002104513811624827,0.010297979802506935,0.022043491121505342,-0.12214715368470627,287528577.4586176,76210583.12740041,-11714078.801670477,21162070.223141197,37332426.74555855,-1467004612.261436,-734468567.54742
2036,0.045907476797893386,0,132,868,0,0,0,1000,0,276192413451.56696,264268101558.79596,11924311892.76747,12354963604.74953,380057052.687954,0,16181824607.3123,9755566650.54601,3283948411.4544234,2.0040100195221696e-69,0,851820339.9995806,753699572.2520274,113450714.86058103,2.0810788467474119e-72,0,0,16832614.999285996,0.018431017964873894,0,0.00573546253192936,0.002104513811624827,0.009583487508666357,0.021077133777006048,-0.11735769528278159,351845182.72397465,93257952.94146061,-17527960.28605459,26492637.90722739,37962994.76429138,-1746850334.3068736,-874623593.3033594
2037,0.04534975322749448,0,120,880,0,0,0,1000,0,288621072056.8847,274004715395.61398,14616356661.26995,12689782133.693783,461435348.31949747,0,19495868744.663387,11945162525.633837,3424156192.694549,2.0040100195221696e-69,0,1011264775.7729325,899425529.4298369,114843417.27309944,2.0810788467474119e-72,0,0,24797041.769111354,0.018431017964873894,0,0.005732126714522348,0.002104513811624827,0.008948872236301926,0.02017436334787866,-0.11275603423095297,426108488.2937207,112941734.88919838,-24349992.662774157,34114764.97005422,37585475.26505895,-2056768915.1390784,-1029822261.7266412
2038,0.044774104139395074,0,109,891,0,0,0,1000,0,301609020299.4399,283907325822.959,17701694476.484985,13020433183.085346,552855984.141428,0,23245124757.06579,14483922879.164867,3566754333.881557,1.4881102074811495e-99,0,1188272032.5837119,1059829792.7906187,116134845.83959016,-4.149504626046955e-103,0,0,35467050.721101105,0.018431017964873894,0,0.005728666394259733,0.002104513811624827,0.008376917388569268,0.0194187441741914,-0.10833480688979748,511168124.8039979,135487126.92065987,-32267625.82722593,46695102.76738527,36023773.78490592,-2393082815.6404676,-1198500058.265544
2039,0.04418254102879403,0,92,908,0,0,0,1000,0,315181426212.91693,293974595407.55914,21206830805.35938,13346782583.52218,654536056.6362548,0,27456732943.832016,17411402992.231167,3711723575.8863273,1.4881102074811495e-99,0,1382812178.0667717,1235382829.2484176,117326913.14298585,-4.149504626046955e-103,0,0,49412042.98956364,0.018431017964873894,0,0.005725094857553349,0.002104513811624827,0.00786452064052254,0.01868611485311666,-0.10408693835232373,608006556.0365045,161154534.93485695,-41381835.814318985,67368469.76274289,33067031.417993978,-2750652256.754984,-1377623423.932839
2040,0.04357695213626693,0,78,922,0,0,0,1000,0,329364590392.49786,304205917870.2506,25158672522.249405,13668753014.612968,766636983.8395947,0,32165685254.03726,20766399485.76178,3859055188.239796,1.488110207481146e-99,0,1595981816.6608322,1425722684.3776522,118421926.39864609,-4.149504626046962e-103,0,0,67237771.96240433,0.018431017964873894,0,0.005721424584452361,0.002104513811624827,0.007391275527620616,0.01804774008247317,-0.10000563112261156,717520557.2801191,190181652.75792614,-51784740.69514716,92829402.31323771,28530238.94455053,-3138563751.5210814,-1572033366.5054688
2041,0.042959108838115594,0,68,932,0,0,0,1000,0,344185996960.16266,314596758228.916,29589238731.24698,13986299440.3976,889289086.4432436,0,37414450070.16705,24585234533.65369,4008683866.928346,1.7330570660413566e-130,0,1829256170.0144694,1630404756.5754855,119420569.45341118,-4.17391937490165e-134,0,0,89575024.76504637,0.018431017964873894,0,0.005717667290289409,0.002104513811624827,0.006968534897928839,0.01744527470496444,-0.09608435423836809,840466623.6023326,222768992.39022565,-63554378.56832809,125239623.84483159,22229511.57938652,-3552389791.994045,-1779364625.6489298
2042,0.04233067172953547,0,54,946,0,0,0,1000,0,359674366823.3655,325137211160.38916,34537155662.98029,14299265537.69096,1022735176.2076297,0,43231264927.56277,28917664067.1385,4160466974.723561,1.7330570660413566e-130,0,2082730302.0968773,1850448707.8180685,120321551.89470473,-4.17391937490165e-134,0,0,117067387.99910685,0.018431017964873894,0,0.005713833965328485,0.002104513811624827,0.0065824159215541475,0.016877769212312398,-0.09231683281999481,977970093.606304,259214829.26552504,-76807092.83907385,165227000.4065264,13913995.405502658,-3993883368.523766,-2000495708.063892
2043,0.041693196414774494,0,37,963,0,0,0,1000,0,375859713330.4262,335825232601.9047,40034480728.516945,14607355153.417389,1167359115.6203399,0,49630428034.414604,33817042531.06801,4314375076.989292,1.7330570660413566e-130,0,2355993450.1080284,2087035187.6178286,121127157.69603553,-4.17391937490165e-134,0,0,150358546.45806125,0.018431017964873894,0,0.00570993491250735,0.002104513811624827,0.006211396767987821,0.01634757092098189,-0.08869703802944164,1131192767.0907423,299827103.0012342,-91662323.78592004,216680241.81823587,3367644.5578226256,-4455245758.824175,-2231609216.347581
2044,0.04104813901781897,0,22,978,0,0,0,1000,0,392773400430.2965,346671358316.59784,46102042113.69283,14910525185.13756,1323292954.602098,0,56621452823.183876,39319003555.14125,4470559889.290679,-4.7251993757843556e-192,0,2648913998.2566867,2340142150.7985444,121844561.56396046,2.8536219121830256e-193,0,0,190079825.09821597,0.018431017964873894,0,0.005705979783361538,0.002104513811624827,0.0058833837728162995,0.015906115659563885,-0.08521917742277951,1300669306.696683,344747528.0384344,-108174097.85766868,279208201.45780534,-9586020.208680887,-4878453604.764833,-2444827840.2123084
2045,0.04039686142653156,0,8,992,0,0,0,1000,0,410448203449.6473,357694689815.63635,52753513634.01733,15209087337.034916,1490315191.9963489,0,64200564753.65076,45437323465.46262,4629296474.447492,-2.6293330836905135e-207,0,2960576707.051924,2609005136.3540263,122483606.61467491,2.8126279380824004e-208,0,0,236838762.48554033,0.018431017964873894,0,0.00570197761221495,0.002104513811624827,0.005592739860633926,0.015499515134608243,-0.08187768568105465,1486215710.134626,393927333.84480745,-126321962.90506369,353758288.2436066,-24975913.499652322,-5104417345.427713,-2558622494.964216
2046,0.03974063628258418,0,0,1000,0,0,0,1000,0,428918372604.8779,368926836175.046,59991536429.84226,15503559435.90143,1667999477.3062644,0,72376991887.61322,52127127484.15888,4791040004.917361,-2.6293330836905135e-207,0,3290878700.9467316,2890041836.669895,123057793.99510747,2.8126279380824004e-208,0,0,291209197.9718974,0.018431017964873894,0,0.005697936848716126,0.002104513811624827,0.00535331763719387,0.015171804611522477,-0.07866721570459069,1685874257.2078383,446847618.9632802,-145902353.33093777,435880833.13596684,-42515615.66806839,-5104417345.427713,-2558622494.964216
2047,0.039080651728970954,0,0,1000,0,0,0,1000,0,448219699372.1138,380396782790.0223,67822916582.086174,15794741890.884043,1855638168.9213202,0,81148237553.99507,59303601211.198494,4956207872.005135,-2.6293330836905135e-207,0,3639453584.7195935,3177692327.226201,123578353.77185817,2.8126279380824004e-208,0,0,353723070.0844869,0.018431017964873894,0,0.005693865388797729,0.002104513811624827,0.005169166342162862,0.014898587639082746,-0.07558263005648852,1896578267.8607981,502695547.7537852,-166598074.1626645,520229753.60706896,-61711563.626426935,-5104417345.427713,-2558622494.964216
2048,0.03841801592635455,0,0,1000,0,0,0,1000,0,468389585843.8578,392141007844.8328,76248577999.01968,16083301148.190872,2052658897.6375632,0,90437871493.50052,66904210798.06694,5125325363.600086,3.2026637430635183e-252,0,4002498533.39905,3467662617.769619,124057928.9716749,3.2175544466531735e-256,0,0,424863842.0169649,0.018431017964873894,0,0.005689770604131852,0.002104513811624827,0.005019842710715169,0.014635734715877563,-0.07261899274163112,2116029038.1116562,560861839.6625686,-188170167.74748605,606498180.7338487,-82177450.03547128,-5104417345.427713,-2558622494.964216
2049,0.03775376134899024,0,0,1000,0,0,0,1000,0,489467117206.8342,404246584011.97876,85220533194.8474,16370028514.488312,2258365761.7444987,0,100144702168.27896,74846163168.34007,5299646331.074072,3.2026637430635183e-252,0,4375415708.857112,3754662061.717346,124524551.06105907,3.2175544466531735e-256,0,0,505061231.9983773,0.018431017964873894,0,0.005685659370151063,0.002104513811624827,0.004904847870419896,0.014437768852511431,-0.0697715613080384,2341447300.207631,620609838.8136164,-210326224.9960408,694045106.9856124,-103430503.69919807,-5104417345.427713,-2558622494.964216
2050,0.037088848870486295,0,0,1000,0,0,0,1000,0,511493137481.1391,416835983962.89386,94657153518.23952,16656843217.372057,2470936285.2988873,0,110149983457.49771,83032302404.97372,5480934387.778851,2.001664839414696e-253,0,4753152710.879791,4032712211.625169,125014382.39363554,2.010971529158236e-257,0,0,594686894.5881475,0.018431017964873894,0,0.005681538092701889,0.002104513811624827,0.004822916509356448,0.014302864071730731,-0.06703577925793214,2569779016.0121036,681130060.3573105,-232742761.90639454,782224945.9188808,-124931175.5399341,-5104417345.427713,-2558622494.964216
