,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006298936439528776,0.002222280640125613,0.11953750918956166,0.28497585763502864,-0.20266705825932838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,54,877,27,42,13,987,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,2230094.096317,87521950.34175904,100970321.1191551,7656693.102564409,0,170520.73522793505,6712621.364059534,5455940.837495551,580792.4988040674,0,0,0.0,0.0,0,0.00606540901122311,0.002222280640125613,0.033375928100355653,0.28497585763502864,-0.20236484299633026,4032324.00712891,1025768.2878936372,80706.23530038045,9817761.93908797,1880302.0326087642,-11797.053582810146,2862.4460754778747
2,2022,0.05972962709646766,0,116,884,0,0,0,1000,0,55634391075.99874,55632980971.89236,1410104.1077028515,3298899208.6963573,0.0,0,91427323.68123846,146355737.16017056,215005892.34739438,7549596.976416309,0,5851008.843995321,12068026.220976714,11195914.339101817,572651.941010509,0,0,0.644184905555937,0.0,0,0.006057369592715035,0.002222280640125613,0.03900205204268844,0.06542235820401902,-0.19443000400659213,6686600.393912786,1700980.0367645824,423142.5117902928,12462524.43808538,3493167.841154844,-12021634.165682834,-5903727.111945701
3,2023,0.05836688665777374,0,188,812,0,0,0,1000,0,64869699994.6152,64811371590.72254,58328403.89344599,3720663714.038799,75100.98863286857,0,229195277.90992102,222960164.28319687,347175417.0388986,6926441.16525356,0,14642044.777717048,18880867.343848653,17501609.334047988,523699.866000742,0,0,25.873698517809036,0.0,0,0.006049084371701133,0.002222280640125613,0.035208607974905354,0.05756271158127707,-0.1868062945038776,10067019.590111298,2560912.6228159354,781674.5598059084,15380566.15506522,5310593.0062760115,-29578274.55724612,-14575109.131256726
4,2024,0.05698711329906456,0,230,770,0,0,0,1000,0,75638070193.72394,75471701883.63309,166368310.08914614,4195050058.0216475,3016930.9087588685,0,429527480.7341788,327775470.5585408,500684986.1420756,4638211.945574421,0,27260491.276063874,28019355.308409162,24463748.720545005,350174.9316515014,0,0,100.57236880625065,0.0,0,0.006040629433443271,0.002222280640125613,0.03106475426415527,0.05046389158046286,-0.1794815149265043,14586808.193405574,3710685.2623770726,1124278.59775158,17532304.03182497,7391091.193661044,-55218070.97072693,-27274727.373938322
5,2025,0.055598969189164155,0,235,765,0,0,0,1000,0,88193989845.88063,87861224788.1787,332765057.7014789,4729746714.348043,8435954.053949336,0,708509346.4791689,471148721.1328466,679095060.8249165,2842851.3935713866,0,44498350.13035051,40360056.84714161,32175508.080091782,214151.95521482342,0,0,1434.1001263211986,0.0,0,0.00603206881674295,0.002222280640125613,0.02737289139116153,0.04502665191626391,-0.17244394406444538,20623120.15935065,5246240.78310222,1425313.8454180346,18965322.590421826,9751478.919007776,-90703071.25160624,-44862148.40414457
6,2026,0.054209698950969866,0,239,761,0,0,0,1000,0,102834192160.29462,102263842269.68442,570349890.6117917,5332809536.753564,16535353.282419829,0,1086960480.9600527,666598676.1462797,886493851.0647458,1422952.656478076,0,67390218.7452788,57017504.75208753,40739140.52948197,108275.08007498409,0,0,10214.378673589914,0.0,0,0.006023456264851928,0.002222280640125613,0.024139321685533163,0.040749235796939946,-0.16568232030289304,28651523.839961845,7288557.294230805,1650125.4077964216,19452071.08490768,12396029.828240987,-138549126.9318429,-68586507.29803085
7,2027,0.05282533692132992,0,224,776,0,0,0,1000,0,119904668058.90309,119007662928.40488,897005130.5007722,6013141013.772207,27758066.13295932,0,1588587136.3637927,930519965.1664753,1127606145.7657838,176952.81237427855,0,97018032.59259126,79361564.19340126,50268469.08893264,13729.981104995657,0,0,42713.78476943518,0.0,0,0.0060148367260506475,0.002222280640125613,0.021350636417536876,0.036956530683164734,-0.15918582360127218,39221604.60976961,9977441.827064564,1758635.8508967394,19663298.405012116,15312459.652529905,-200690470.44178787,-99441803.02364376
8,2028,0.0514508847429268,0,226,774,0,0,0,1000,0,139808842956.6815,138474547359.72977,1334295596.954033,6780687817.989608,42732138.691904984,0,2242030579.3114543,1278636887.947739,1407930766.669741,0.0,0,134762313.8422994,108627610.24997565,60891997.39289469,0.0,0,0,131529.14091220594,0.0,0,0.0060062476395637944,0.002222280640125613,0.01908385236166958,0.03405813822537883,-0.15294405817886697,52807688.700402044,13433556.512340024,1724322.8324808392,18291053.755073924,18450464.914175544,-280665685.2913935,-138925722.4514112
9,2029,0.05009046351667033,0,213,787,0,0,0,1000,0,163017110887.49374,161108850308.09924,1908260579.394077,7646687874.340078,62185357.82031779,0,3077661943.9610643,1731363514.2398074,1733866456.0410736,0.0,0,181859784.3139117,146467719.19457442,72754770.30566812,0.0,0,0,332864.2757882027,0.0,0,0.005997720037405053,0.002222280640125613,0.017106241384551156,0.0315075833852481,-0.14694703587935387,70016694.12520006,17811293.023527853,1509588.4060201438,16462246.36747787,21762846.488821365,-379557953.9808205,-187857692.74425134
10,2030,0.04874744414096422,0,202,798,0,0,0,1000,0,190077951294.8198,187430272882.32837,2647678412.488865,8623834551.66936,86964030.12023321,0,4123923075.710551,2313843361.9484944,2112896949.5421863,0.0,0,239292133.8321157,194770837.2245824,86022048.97005259,0.0,0,0,734594.2716795652,0.0,0,0.005989279488386298,0.002222280640125613,0.015396356554983618,0.029201286674893343,-0.14118516018762073,91572429.41755462,23294778.389791977,1068719.5267512465,14802995.59094409,25197007.244470943,-499609664.2838691,-247218120.59757593
11,2031,0.048347307021661644,0,189,811,0,0,0,1000,0,221630891209.75455,218049776542.55527,3581114667.201384,9726574628.256866,117942054.7918722,0,5413325423.582314,3049112849.156258,2553820138.850079,0.0,0,308157430.3883964,255183097.02034387,100883778.44787447,0.0,0,0,1464613.9023630095,0.0,0,0.005980946906789482,0.002222280640125613,0.013967606862739887,0.027359287879194165,-0.13564921087329507,118052874.51724687,30031042.832964342,381211.0818524059,13454387.846239576,28668083.185749326,-642435430.0118196,-317958748.49296814
12,2032,0.047914186611052303,0,177,823,0,0,0,1000,0,231604281314.20035,226864651402.95053,4739629911.244902,10971470746.713316,155892740.83867317,0,6972717528.76302,3966777687.6869392,2680755012.027479,0.0,0,390095041.76466745,328551926.83022916,102769735.39958222,0.0,0,0,2698780.0695060897,0.0,0,0.0059784643102932114,0.002222280640125613,0.012724091424918826,0.025664923874786288,-0.13033032923640836,150830936.10047278,38369335.10592034,-2884262.4598252974,12966371.487156266,31937143.566807058,-809774408.0612954,-400477129.89787024
13,2033,0.04745098729248948,0,167,833,0,0,0,1000,0,242026473973.32977,235874852544.64606,6151621428.688906,11319264904.976364,201602389.6446164,0,8837419749.481949,5087497005.871683,2810502599.2613482,0.0,0,486519886.93254435,415551842.8945171,104560825.82090004,0.0,0,0,4667569.4125679545,0.0,0,0.005975777073438795,0.002222280640125613,0.011675693595699024,0.024345046407242683,-0.12522000393158644,190503280.44209754,48461438.97953998,-6974966.812154831,12533915.16166839,34889110.54471485,-1003619901.4907765,-495982417.78635114
14,2034,0.04696044451987401,0,150,850,0,0,0,1000,0,252917665302.13074,245067801307.06555,7849863995.068825,11664259096.812363,255666540.35326794,0,11033395464.347727,6440833793.7163925,2942881766.9733777,0.0,0,597989743.1239433,517256936.1268285,106251389.41332942,0.0,0,0,7660585.504841086,0.0,0,0.005972903216078746,0.002222280640125613,0.010775354164203412,0.023018343690021804,-0.12031005734808065,237946923.21666405,60530455.29228305,-11998870.694923658,13285201.78870183,37356165.74539412,-1224724748.8684266,-604891744.4627452
