,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006177136439528753,0.0021611767268154745,0.12027723592184955,0.1938527504583766,-0.17636954558602738,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,57,494,114,335,12,988,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,3141938.544653199,48210692.24025057,111245495.92324847,31713911.570405737,0,237765.1235069437,3705007.543900565,6240595.874473559,2446156.3825558834,0,0,0.0,0.0,0,0.005943609011223111,0.0021611767268154745,0.04318121869005746,0.1938527504583766,-0.1761065449333217,2221170.0146255977,559591.3565435731,303877.2648000606,5273325.702338712,1465202.427372474,-69947.0685993279,-21921.202563877676
2,2022,0.05972962709646766,0,568,432,0,0,0,1000,0,55634391075.99874,55632404406.857834,1986669.1421220035,3298899208.6963573,0.0,0,118473445.52008455,77250890.06450821,225272607.70121294,29674787.14295339,0,8382134.85584118,6354612.890335902,11980132.358433764,2288094.756841773,0,0,0.9252971906737023,0.0017420833368980465,0,0.005935569592715036,0.0021611767268154745,0.05284288782373921,0.05435677704351501,-0.1692013085375396,3531313.6501248153,889662.9176705654,811527.5350750859,872488.7294408091,2623960.657274757,-13780273.743907666,-6768544.424132556
3,2023,0.05836688665777374,0,377,617,1,5,0,1000,0,64869699994.6152,64794058203.816414,75641790.79958922,3720633006.65779,105808.36964075855,0,269778836.6028232,135417100.385719,357440506.3184104,26265649.364091866,0,18483091.077023424,11540316.001871692,18291607.65665085,2017599.1691822507,0,0,32.443703173345426,1.8216783568845083,0,0.0059272843717011175,0.0021611767268154745,0.04007053095471366,0.03557541492529549,-0.16256683033362185,6098086.633416758,1536323.8964348785,1270588.9092051603,1145489.7035623495,4241141.1594634345,-32630663.677858315,-16081597.178696964
4,2024,0.05698711329906456,0,313,683,1,3,0,1000,0,75638070193.72394,75439674660.63986,198395533.08242327,4194154305.7686853,3912683.1617218014,0,476176386.0225114,228600455.41374785,510893567.6256436,19776246.29052272,0,31746286.233754043,19682858.883852743,25255535.20506094,1517137.705307749,0,0,125.32013832143681,3.4735228312232054,0,0.005918829433443271,0.0021611767268154745,0.032943764588834586,0.03299497015381498,-0.15619249374101146,10116288.564402103,2548651.2079959945,1677402.821833053,2348503.37197607,6244163.122269903,-57376927.65989345,-28216173.369411513
5,2025,0.055598969189164155,0,266,728,1,5,0,1000,0,88193989845.88063,87819952208.5727,374037637.30746514,4728112951.288522,10069717.11345894,0,755104104.8106426,364610644.9870743,689643996.1486702,12897672.57909768,0,49124050.8375397,31413876.49818946,32995179.64518315,983104.1866946155,0,0,1878.347372283925,13.958127720926141,0,0.005910268816742946,0.0021611767268154745,0.028238792273414172,0.03025059356244548,-0.15006809846122915,15842600.352153843,3991311.8599045244,2021577.4830779657,3624086.782000763,8586283.045446832,-91010895.98282725,-44795613.42941146
6,2026,0.054209698950969866,0,242,758,0,0,0,1000,0,102834192160.29462,102219204452.12007,614987708.1760918,5330725753.87522,18619136.160768505,0,1129776542.1268568,555661822.5531707,896994213.2029856,5069966.899939242,0,71837294.44809866,47748127.72992797,41557408.58799144,390181.9314101914,0,0,13164.366449945726,22.810743418888276,0,0.005901656264851938,0.0021611767268154745,0.024562703234715873,0.0275031000267691,-0.14418384415521993,23690317.5698495,5968429.637789211,2276524.446111503,5089841.2226973,11250082.898497382,-135187321.3219928,-66516530.9817803
7,2027,0.05282533692132992,0,229,771,0,0,0,1000,0,119904668058.90309,118964177015.74536,940491043.1599828,6010898268.308505,30000811.596660133,0,1622783285.3128273,813528316.9110749,1138123384.2984974,1345164.4810143649,0,101004445.73098394,69621941.74926135,51088332.763061866,101946.75252042332,0,0,53543.401152422084,54.46114646907759,0,0.005893036726050644,0.0021611767268154745,0.021750587148815725,0.025243634886252357,-0.13853031476071972,34017903.05304125,8570314.019581178,2425733.9411826083,6803833.080235399,14194337.83833155,-190944214.71646258,-93953753.99752554
8,2028,0.0514508847429268,0,218,781,1,0,0,1000,0,139808842956.6815,138436935407.16733,1371907549.5165064,6778497876.53919,44922080.14231151,0,2263318746.1767945,1155554360.3141541,1419109911.5316837,0.0,0,137997315.46536276,98433520.15238298,61756076.12759736,0.0,0,0,160479.87531177592,138.20342273579524,0,0.005884447639563799,0.0021611767268154745,0.019360129488592538,0.02324711774712048,-0.13309846342454673,47366276.2080582,11933241.752389092,2435159.565414155,8204688.6172215585,17382221.119012978,-261585891.52604115,-128617592.96131733
9,2029,0.05009046351667033,0,216,784,0,0,0,1000,0,163017110887.49374,161081559959.9182,1935550927.575195,7644759240.742637,64113991.41775336,0,3083256421.411117,1602198947.5599744,1745193783.0689566,0.0,0,184236858.37646997,135765477.793234,73625750.66862853,0.0,0,0,396452.3840173796,138.20342273579524,0,0.0058759200374050545,0.0021611767268154745,0.01741717749108283,0.021514436066717147,-0.12787959802570623,64344091.68982619,16210554.490284331,2267618.453101518,9324452.848563766,20757178.527121484,-349872145.8148541,-172091159.70909455
10,2030,0.04874744414096422,0,199,801,0,0,0,1000,0,190077951294.8198,187416700932.4743,2661250362.3431478,8622351512.594948,88447069.19465882,0,4114049561.3378735,2176499825.8839993,2124421299.4034777,0.0,0,240849145.9304919,183426575.98118252,86901529.22316258,0.0,0,0,856041.2875760763,138.20342273579524,0,0.005867479488386301,0.0021611767268154745,0.015608735146914854,0.01993705712580699,-0.12286536726614285,85597149.21622218,21564952.043638326,1887509.7088450906,10411636.256773941,24282989.469551988,-457389375.70710814,-224983940.7111148
11,2031,0.048347307021661644,0,190,810,0,0,0,1000,0,221630891209.75455,218051029267.00015,3579861942.7565956,9725666323.605663,118850359.44307578,0,5386893080.168416,2903103686.6240125,2565557356.469873,0.0,0,308884943.2040084,243136384.6654396,101771895.80717114,0.0,0,0,1673701.751646715,138.20342273579524,0,0.005859146906789463,0.0021611767268154745,0.014170217126812563,0.01858317704170204,-0.11804774730688161,111765505.14326988,28157687.266655445,1267254.0241605418,12067018.741889106,27858949.232104894,-585092339.2893028,-287644270.2552568
