,RunId,iteration,Step,avg_consumer_income,consumer_proffer,consumer_reselling,consumer_recycling,consumer_landfilling,consumer_storing,consumer_buying_new,consumer_buying_used,consumer_recycle_manufactor,consumer_recycle_recycler,avg_new_product_price,avg_used_product_price,new_price_to_income,used_price_to_income
0,0,0,0,3297.4339,0,0,0,0,0,7759,2241,0,0,4498.625,2474,1.3642805698091476,0.7502803922771583
1,0,0,1,3324.3217,213,125,7312,437,1913,0,0,3099,4213,4510.25,2451,1.3567429409734924,0.7372932649689108
2,0,0,2,3352.1537,0,0,0,0,0,9672,328,0,0,4510.25,2430,1.3454782816193662,0.7249070948029621
3,0,0,3,3378.6217,223,169,7182,468,1958,0,0,3682,3500,4521.25,2413,1.338193619013339,0.7141965612782277
4,0,0,4,3404.352,0,0,0,0,0,9485,515,0,0,4521.25,2399,1.328079470043051,0.7046862369108717
5,0,0,5,3431.1123,203,223,6954,435,2185,0,0,3815,3139,4521.25,2375,1.3177213698310022,0.6921953560074382
6,0,0,6,3457.8012,0,0,0,0,0,9391,609,0,0,4521.25,2361,1.3075505902421458,0.6828038581281075
7,0,0,7,3484.0109,226,189,6937,423,2225,0,0,4079,2858,4521.25,2352,1.2977140800564084,0.675083995862355
8,0,0,8,3511.8991,0,0,0,0,0,9270,730,0,0,4523.5,2345,1.288049534224944,0.6677298900757143
9,0,0,9,3540.7702,243,206,6817,392,2342,0,0,4100,2717,4537.75,2331,1.2815714501890012,0.6583313427118201
10,0,0,10,3568.8324,0,0,0,0,0,9242,758,0,0,4537.75,2323,1.2714942847974593,0.6509131670066659
11,0,0,11,3596.741,263,199,6652,360,2526,0,0,4187,2465,4542.5,2325,1.262948875106659,0.6464185216561326
12,0,0,12,3625.9222,0,0,0,0,0,9143,857,0,0,4547.75,2322,1.2542326473524446,0.6403888092248642
13,0,0,13,3652.5271,240,197,6717,323,2523,0,0,4306,2411,4559.5,2318,1.2483138044341957,0.6346291037785866
14,0,0,14,3679.9526,0,0,0,0,0,9020,980,0,0,4559.5,2316,1.2390105242116434,0.6293559324649997
15,0,0,15,3705.9293,242,248,6637,316,2557,0,0,4421,2216,4570.625,2312,1.2333276298606128,0.6238651125913277
16,0,0,16,3731.3756,0,0,0,0,0,9023,977,0,0,4570.625,2311,1.2249168912397883,0.6193426359972982
17,0,0,17,3758.3515,284,246,6352,328,2790,0,0,4315,2037,4570.625,2314,1.2161249420124753,0.615695471804593
18,0,0,18,3785.6034,0,0,0,0,0,8987,1013,0,0,4570.625,2312,1.2073702702190092,0.6107348699021139
19,0,0,19,3812.5536,310,194,6395,279,2822,0,0,4368,2027,4570.625,2312,1.1988356045669757,0.6064177038717566
20,0,0,20,3840.5392,0,0,0,0,0,9072,928,0,0,4572.875,2313,1.1906856724701573,0.6022591827730855
21,0,0,21,3869.5224,297,181,6268,293,2961,0,0,4349,1919,4587.375,2314,1.1855145224123784,0.5980066170440053
22,0,0,22,3897.2524,0,0,0,0,0,8965,1035,0,0,4587.375,2315,1.1770792674346675,0.5940082300032711
23,0,0,23,3925.7758,336,198,6146,231,3089,0,0,4249,1897,4592.125,2315,1.1697369472805859,0.5896923609341115
24,0,0,24,3955.528,0,0,0,0,0,8904,1096,0,0,4597.5,2316,1.1622974227460912,0.5855096968091239
25,0,0,25,3982.1633,403,176,6053,240,3128,0,0,4211,1842,4609.5,2309,1.1575366585292974,0.5798355883597239
26,0,0,26,4009.327,0,0,0,0,0,8958,1042,0,0,4609.5,2311,1.1496942005478725,0.5764059653902014
27,0,0,27,4036.0443,331,214,5993,230,3232,0,0,4120,1873,4620.875,2317,1.1449019526371402,0.5740769495518173
28,0,0,28,4062.4514,0,0,0,0,0,8870,1130,0,0,4620.875,2318,1.137459761364776,0.5705914414139207
29,0,0,29,4089.4752,436,197,5785,216,3366,0,0,3959,1826,4620.875,2324,1.1299432748730205,0.5682880776486919
30,0,0,30,4116.0218,0,0,0,0,0,8907,1093,0,0,4620.875,2327,1.1226556185878314,0.565351718982635
31,0,0,31,4142.2409,467,136,5697,212,3488,0,0,3858,1839,4620.875,2328,1.1155495567628624,0.562014633190455
32,0,0,32,4169.8963,0,0,0,0,0,8900,1100,0,0,4623.125,2328,1.1086906405801986,0.5582872648415741
33,0,0,33,4198.1173,546,124,5581,182,3567,0,0,3786,1795,4637.875,2330,1.1047511702448143,0.5550106949131698
34,0,0,34,4226.4806,0,0,0,0,0,8870,1130,0,0,4637.875,2329,1.0973373449294905,0.5510494949391227
35,0,0,35,4254.1832,432,133,5434,172,3829,0,0,3694,1740,4642.625,2331,1.091308197540717,0.5479312691564387
36,0,0,36,4283.0979,0,0,0,0,0,8822,1178,0,0,4648.125,2333,1.0852250190218626,0.5446992000813243
37,0,0,37,4309.2832,572,137,5197,150,3944,0,0,3473,1724,4660.375,2333,1.0814733642940897,0.5413893428958209
38,0,0,38,4337.0786,0,0,0,0,0,8764,1236,0,0,4660.375,2335,1.0745424350852208,0.5383808354314815
39,0,0,39,4363.8347,598,172,5315,132,3783,0,0,3544,1771,4671.875,2333,1.0705893603165124,0.5346215336708331
40,0,0,40,4390.0081,0,0,0,0,0,8850,1150,0,0,4671.875,2336,1.0642064646759992,0.5321174692137812
41,0,0,41,4416.8133,557,123,5143,113,4064,0,0,3453,1690,4671.875,2339,1.0577479016375901,0.5295673240252198
42,0,0,42,4442.4691,0,0,0,0,0,8814,1186,0,0,4671.875,2343,1.0516392787065192,0.5274094084301002
43,0,0,43,4469.9349,768,151,4717,116,4248,0,0,3102,1615,4671.875,2345,1.045177414105069,0.5246161415013001
44,0,0,44,4497.4704,0,0,0,0,0,8863,1137,0,0,4674.125,2349,1.0392786576205149,0.5222935986415831
45,0,0,45,4526.5718,597,169,4737,93,4404,0,0,3155,1582,4689.125,2353,1.0359108851427035,0.5198194359802268
46,0,0,46,4555.8505,0,0,0,0,0,8925,1075,0,0,4689.125,2357,1.0292534840640624,0.5173567482076069
47,0,0,47,4583.7495,867,143,4515,78,4397,0,0,3020,1495,4693.875,2361,1.024025200329992,0.5150805034175624
48,0,0,48,4612.7012,0,0,0,0,0,8929,1071,0,0,4699.375,2363,1.018790248108852,0.5122811770248634
49,0,0,49,4639.6704,939,141,4109,73,4738,0,0,2732,1377,4711.875,2366,1.0155624416768916,0.5099500171391486
50,0,0,50,4667.8528,0,0,0,0,0,8877,1123,0,0,4711.875,2367,1.009430931498097,0.5070853990939903
51,0,0,51,4694.9557,876,131,4185,94,4714,0,0,2785,1400,4723.625,2369,1.006106404795257,0.5045841007615897
52,0,0,52,4720.2446,0,0,0,0,0,8968,1032,0,0,4723.625,2371,1.0007161493283632,0.5023044780348883
53,0,0,53,4747.0659,945,134,4155,82,4684,0,0,2766,1389,4723.625,2381,0.9950620234701187,0.5015729821656785
54,0,0,54,4773.8282,0,0,0,0,0,9006,994,0,0,4723.625,2382,0.989483660094848,0.4989706164960021
55,0,0,55,4800.0522,868,109,3935,73,5015,0,0,2691,1244,4723.625,2383,0.9840778398201586,0.49645293440767163
56,0,0,56,4827.0478,0,0,0,0,0,9057,943,0,0,4725.875,2389,0.9790404395829683,0.4949194826701322
57,0,0,57,4855.8809,1131,98,3799,54,4918,0,0,2558,1241,4741.125,2392,0.9763676452608218,0.4925985725885493
58,0,0,58,4884.4776,0,0,0,0,0,8921,1079,0,0,4741.125,2393,0.9706513957603162,0.48991933139380145
59,0,0,59,4912.6866,1162,139,3314,49,5336,0,0,2163,1151,4745.875,2391,0.9660447299854218,0.4866990701177641
60,0,0,60,4942.5009,0,0,0,0,0,8853,1147,0,0,4751.5,2392,0.9613554142195503,0.4839655163239323
61,0,0,61,4970.037,1322,97,3194,44,5343,0,0,2047,1147,4764.25,2388,0.95859447324034,0.4804793203752809
62,0,0,62,4997.5108,0,0,0,0,0,8815,1185,0,0,4764.25,2390,0.9533246031204174,0.4782380860487585
63,0,0,63,5025.2435,1114,104,3393,35,5354,0,0,2208,1185,4776.125,2390,0.9504265813188953,0.475598844115713
64,0,0,64,5050.9751,0,0,0,0,0,8776,1224,0,0,4776.125,2391,0.9455847446169355,0.4733739431817829
65,0,0,65,5077.6829,1429,106,3177,34,5254,0,0,2126,1051,4776.125,2391,0.9406111200839266,0.4708840719454931
66,0,0,66,5104.4298,0,0,0,0,0,8778,1222,0,0,4776.125,2392,0.9356823753360268,0.46861257647230253
67,0,0,67,5131.5975,1339,111,3026,40,5484,0,0,1991,1035,4776.125,2393,0.9307286863398776,0.46632651917848195
68,0,0,68,5159.7672,0,0,0,0,0,8795,1205,0,0,4778.375,2399,0.9260834481059532,0.46494345713891894
69,0,0,69,5188.9116,1436,112,2732,36,5684,0,0,1768,964,4793.875,2402,0.9238690826800748,0.46291017946807955
70,0,0,70,5217.604,0,0,0,0,0,8828,1172,0,0,4793.875,2402,0.9187885857186555,0.460364565804534
71,0,0,71,5245.9038,1444,78,2930,33,5515,0,0,1872,1058,4798.75,2406,0.9147613419826722,0.45864356109618326
72,0,0,72,5275.0644,0,0,0,0,0,8948,1052,0,0,4804.5,2407,0.9107945677402535,0.4562977468104465
73,0,0,73,5301.8258,1717,63,2503,28,5689,0,0,1652,851,4817.5,2417,0.9086492430588724,0.4558806892523704
74,0,0,74,5329.764,0,0,0,0,0,8820,1180,0,0,4817.5,2418,0.9038861758231697,0.45367862441939266
75,0,0,75,5355.6023,1649,69,2530,31,5721,0,0,1655,875,4829.5,2419,0.9017659881130458,0.45167655559487685
76,0,0,76,5381.3169,0,0,0,0,0,8807,1193,0,0,4829.5,2420,0.8974569031606372,0.44970404920773205
