,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006141236439528763,0.002175468366027823,0.11821660888934248,0.27581721761206307,-0.17117907391778375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,53,925,4,18,16,984,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,1742131.1907639166,88305997.93875425,99073808.72434448,5761209.992194821,0,131164.3949214117,6793176.72396168,5306019.397434999,439552.6863099165,0,0,0.0,0.0,0,0.005907709011223111,0.002175468366027823,0.032988987283502226,0.27581721761206307,-0.17092381324894015,4068446.761886436,1068307.0379294883,125606.452901545,9846427.462126264,1814560.7812888615,-87255.59663010908,-39279.97811659821
2,2022,0.05972962709646766,0,2,998,0,0,0,1000,0,55634391075.99874,55633289513.26243,1101562.7374722974,3298899208.6963573,0.0,0,80551534.5472977,152704023.50118154,213166983.55372453,5596567.5759373745,0,4946237.8646884225,12677723.12416368,11049470.067209015,427128.5785026893,0,0,0.507087774179356,0.0,0,0.005899669592715028,0.002175468366027823,0.0373273941190279,0.06155451914139234,-0.16422179466922565,6973752.842785582,1831192.511235956,472673.77535129635,14514532.111626366,3435747.432738881,-2121948.594514248,-1190860.8428027737
3,2023,0.05836688665777374,0,137,863,0,0,0,1000,0,64869699994.6152,64818361851.20144,51338143.41464284,3720680146.699202,58668.32822724592,0,209782076.7543273,230589031.83327934,345464806.20351434,5737274.1292151455,0,13090704.676094992,19637716.8426737,17361902.133855194,434902.9331065879,0,0,22.951614960254805,0.0,0,0.005891384371701127,0.002175468366027823,0.034867484225594145,0.058286975537998435,-0.1577825659968333,10410681.844800962,2733673.3980731103,866528.2565822646,18882683.600991756,5193967.632862196,-10110183.538016282,-5298805.327502408
4,2024,0.05698711329906456,0,221,779,0,0,0,1000,0,75638070193.72394,75486547226.33966,151522967.3826096,4195411836.2258534,2655152.7045568004,0,402748357.4907795,333813566.87342215,499087328.1751208,4027658.449758494,0,25221506.999678567,28659350.97158825,24329390.843075242,309700.5301063003,0,0,88.60596670192446,0.0,0,0.0058829294334432685,0.002175468366027823,0.030914478773899256,0.05022795390556236,-0.15159582309211186,14861874.076488774,3902483.085553019,1272095.2892122606,22703199.966532484,7186723.161712512,-28064628.677023634,-14553322.436519487
5,2025,0.055598969189164155,0,248,752,0,0,0,1000,0,88193989845.88063,87883615914.91844,310373930.9617051,4730502484.6788435,7680183.723149554,0,674118527.046679,474520511.2112397,677605875.5708276,1971715.9463917874,0,41998613.67581128,40781886.49177161,32045967.310759164,150880.79287358015,0,0,1263.688043035913,0.0,0,0.005874368816742952,0.002175468366027823,0.02730179130918901,0.04404182878546725,-0.14565166584650502,20785929.005812842,5458042.232440649,1659238.371938522,25866523.116302308,9434801.566316057,-54586235.402519025,-28239335.307347573
6,2026,0.054209698950969866,0,238,762,0,0,0,1000,0,102834192160.29462,102293820857.01524,540371303.2810719,5333932599.824483,15412290.211503563,0,1043362987.440164,665405581.1083136,885113708.1051046,1444778.565276564,0,64345125.29281456,57086855.54155368,40614149.177405015,105483.92450533774,0,0,9130.011861315266,0.0,0,0.005865756264851928,0.002175468366027823,0.02419865973173828,0.03967948785613951,-0.1399405823402651,28626823.098779358,7516931.738295191,2002563.8196200428,29257507.35702068,11930971.898182383,-89160406.95488866,-46040607.42602033
7,2027,0.05282533692132992,0,237,763,0,0,0,1000,0,119904668058.90309,119046252812.42831,858415246.4770237,6014622483.103471,26276596.80170264,0,1536021396.562215,922792327.5666351,1126349752.8348272,387100.3166815373,0,93516334.53361627,78899383.0511707,50148399.254034355,27457.522992935526,0,0,38698.73532621445,0.0,0,0.005857136726050645,0.002175468366027823,0.02132765843828152,0.0360529037814596,-0.13445343362135284,38935194.61834371,10223740.131883765,2268620.8342256583,32159643.088097036,14676011.645554278,-136472088.0400754,-70453260.47646339
8,2028,0.0514508847429268,0,230,770,0,0,0,1000,0,139808842956.6815,138521974241.30457,1286868715.3792226,6782564034.337779,40855922.34372681,0,2178743011.717495,1264088808.2856083,1406801332.4757888,-5.249415425817287e-25,0,130688501.10322481,107649529.81408341,60776679.4447927,1.3123538564543244e-26,0,0,120582.8944218366,0.0,0,0.005848547639563799,0.002175468366027823,0.019026347950641422,0.033152419315419096,-0.1291814390811637,52255094.86863526,13721326.315193506,2428913.396861596,34464476.04436936,17613878.106609695,-197529903.25145203,-101910229.58515501
9,2029,0.05009046351667033,0,216,784,0,0,0,1000,0,163017110887.49374,161166305974.0101,1850804913.483086,7648957211.652432,59916020.50796108,0,3001587052.3951707,1709495622.5817652,1732881094.2034688,-5.249415425817287e-25,0,177124655.8390061,144941086.72180155,72644618.79629289,1.312353856454324e-26,0,0,308280.80896231264,0.0,0,0.005840020037405046,0.002175468366027823,0.017053096132835083,0.030504611303284395,-0.12411616240368124,69185860.23192471,18167066.14017486,2454111.365676894,37699853.22695294,20691001.87803632,-272187661.945244,-140400268.40956318
10,2030,0.04874744414096422,0,206,794,0,0,0,1000,0,190077951294.8198,187499501569.80798,2578449725.009051,8626536842.155243,84261739.63436358,0,4035341196.690944,2282156593.95671,2112080721.0703394,1.4808473755476118e-40,0,233979204.90588415,192529227.54014778,85917751.7238755,2.977478976997369e-42,0,0,686318.0530121231,0.0,0,0.005831579488386301,0.002175468366027823,0.015335362361406637,0.028351985579739954,-0.11924949806557163,90378229.99334952,23731833.013524994,2315341.300668082,41602031.2892704,23845133.45352671,-363419955.50927734,-187434975.29026082
11,2031,0.048347307021661644,0,194,806,0,0,0,1000,0,221630891209.75455,218131242341.59103,3499648868.165674,9729770151.305294,114746531.74344441,0,5311602228.634851,3006154155.32911,2553179661.2506847,1.4808473755476118e-40,0,302282714.83344287,252154801.3269188,100785220.31165214,2.977478976997369e-42,0,0,1378792.094001879,0.0,0,0.005823246906789474,0.002175468366027823,0.01393853239011219,0.026523586760784146,-0.1145736583656166,116452721.06061634,30578564.443943117,1994325.6946818696,45217423.53547654,26973138.75187094,-474299252.8180317,-244581202.81679094
12,2032,0.047914186611052303,0,181,819,0,0,0,1000,0,231604281314.20035,226958926046.1041,4645355268.091967,10975163793.589901,152199693.96209672,0,6861123437.84676,3907209550.91741,2680298845.4626017,8.846807019113375e-56,0,383927993.5454274,324434477.37800777,102676869.57948956,-6.911567983682324e-58,0,0,2557593.3983620116,0.0,0,0.005820764310293215,0.002175468366027823,0.012705272896881987,0.024813807008459376,-0.11008116096273064,148637510.11037558,39029759.37618089,-807721.9228560908,49894011.61347749,29854375.782709803,-605173002.2404445,-312049602.8145142
13,2033,0.04745098729248948,0,169,831,0,0,0,1000,0,242026473973.32977,235980078353.8596,6046395619.474786,11323463329.55015,197403965.0708368,0,8713159413.340391,5011947819.254849,2810203989.1284156,8.846807019113375e-56,0,479901937.17830455,410486009.6397932,104472281.37494537,-6.911567983682324e-58,0,0,4449433.549069059,0.0,0,0.005818077073438808,0.002175468366027823,0.011653297572860002,0.023441250765839933,-0.10576481690261857,187744141.25138405,49298515.91222079,-4354631.071498873,56594994.88645643,32342678.790987544,-755207891.0308541,-389429716.41041774
14,2034,0.04696044451987401,0,160,840,0,0,0,1000,0,252917665302.13074,245185062734.74384,7732602567.391147,11668876833.743921,251048803.42169258,0,10895926375.212154,6347337415.129946,2942756325.5937524,-1.0518519545406413e-71,0,591098172.0379615,511048228.87342125,106167428.57346535,8.21759339484876e-74,0,0,7340806.963769002,0.0,0,0.005815203216078748,0.002175468366027823,0.010735593570628397,0.022215841841657036,-0.10161771911391505,234558613.09654042,61591224.328034736,-8733505.673297618,65443037.74176184,34280959.008046925,-926450751.3065159,-477753513.178616
