,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006167136439528765,0.002207218043301421,0.11956261344721086,0.24760109482110063,-0.19418894387457525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,50,737,96,117,14,986,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,1415966.7968022353,73277115.58900307,110407019.47840503,14101572.652548164,0,106900.32333072746,5626959.64662091,6170284.650778362,1079150.8341327305,0,0,0.0,0.0,0,0.005933609011223115,0.002207218043301421,0.03589880464868924,0.24760109482110063,-0.19389937109817812,3376033.911594829,926389.0767814656,241023.6474323422,8211257.392923435,1678921.614405215,-62072.8216843899,-21417.509728012174
2,2022,0.05972962709646766,0,136,864,0,0,0,1000,0,55634391075.99874,55633495750.0148,895325.9852054833,3298899208.6963573,0.0,0,86240958.42178266,131816431.10435866,230887165.45214432,13524419.069993347,0,5540291.071760368,10953924.991784899,12319347.234091423,1033638.6736718031,0,0,0.41375785455948455,0.0,0,0.005925569592715042,0.002207218043301421,0.039206612739873706,0.056995761113266256,-0.18629646800940675,6017025.275119891,1651081.3088829056,647946.9072480439,10935544.803591194,3230679.9152474124,-12521328.652098618,-6283652.974992634
3,2023,0.05836688665777374,0,221,779,0,0,0,1000,0,64869699994.6152,64814840234.76534,54859759.850668825,3720691130.699539,47684.32789488635,0,213114641.67395607,208419399.73070902,375913812.5562559,12969083.11133868,0,13652289.97891204,17746239.41215922,19469056.0962127,982366.6927038316,0,0,24.536629747153036,0.06690245153391447,0,0.005917284371701127,0.002207218043301421,0.03545988650557777,0.049897136531325076,-0.17899167901481666,9397380.110414635,2578656.0540024354,1087146.9795003464,13801837.022417022,4969804.131793068,-30528839.45281287,-15355061.011568632
4,2024,0.05698711329906456,0,232,767,0,1,0,1000,0,75638070193.72394,75483145148.04237,154925045.67986378,4195230145.636671,2836843.2937402637,0,405437901.9844305,313451377.51641345,540205369.4359515,10727471.713152608,0,25789516.005997993,26901333.423294973,27105628.741110332,810787.4558461327,0,0,86.14899777105074,0.11069152825149944,0,0.00590882943344327,0.002207218043301421,0.031165979850949675,0.04429852247673927,-0.1719733148935784,13926511.904679617,3821457.024425351,1537019.854227798,15336541.407230267,6950545.016698038,-57526050.767036624,-28940377.939286813
5,2025,0.055598969189164155,0,243,757,0,0,0,1000,0,88193989845.88063,87880664375.0054,313325470.874935,4730326789.836625,7855878.565358148,0,683196023.8814783,458643712.74737585,722238494.0405738,8960891.715166388,0,42951954.77472869,39388509.69565527,35039644.87341976,660565.635923905,0,0,1314.7000683211352,0.11069152825149944,0,0.0059002688167429495,0.002207218043301421,0.02725139682810505,0.03903759817642009,-0.16523014476576703,20039411.11710243,5498846.29424443,1974801.8243317176,16912222.751431562,9193686.583723834,-93686741.55688305,-47223792.7046552
6,2026,0.054209698950969866,0,238,762,0,0,0,1000,0,102834192160.29462,102286995846.5127,547196313.7834665,5333778835.039756,15566054.99623011,0,1067892342.4712986,657911756.2735599,929690742.6679903,3098328.663397262,0,66213520.471593075,56363492.7361758,43605337.19272312,237019.6460721717,0,0,9553.552283772728,0.11069152825149944,0,0.0058916562648519384,0.002207218043301421,0.023987671359795813,0.035354815955643,-0.1587513781205585,28224648.580901545,7744888.477435625,2375515.402593834,17594921.986890115,11682450.955797652,-142980971.2476089,-72184131.20687711
7,2027,0.05282533692132992,0,231,769,0,0,0,1000,0,119904668058.90309,119028233263.87907,876434795.0263727,6014285748.523799,26613331.381363932,0,1574307989.3728087,925420499.7087113,1170765811.2491245,829818.2542695274,0,96124973.4832535,78987583.91125202,53132558.145139866,64288.18136831158,0,0,40197.947906985355,0.11069152825149944,0,0.005883036726050647,0.002207218043301421,0.021291892629223604,0.03206862520737974,-0.15252664754910975,38938407.35055855,10684760.929958863,2721154.4918560367,18051220.89626151,14377139.633684648,-205990742.3935,-104108635.34846288
8,2028,0.0514508847429268,0,218,782,0,0,0,1000,0,139808842956.6815,138491139747.94223,1317703208.7413287,6781714135.4046545,41705821.276838966,0,2232427726.413837,1278811534.149812,1451033117.6019378,-36564.22354315452,0,134083626.46722995,108699159.36667183,63753222.83574944,-728.2616153317622,0,0,124402.01498532754,0.11069152825149944,0,0.005874447639563795,0.002207218043301421,0.0189641739158867,0.02945754732794391,-0.14654599215449324,52730326.08991051,14469285.37567381,2989500.3195687435,18417715.43431524,17240173.81482632,-284553975.32210696,-143783682.53386447
9,2029,0.05009046351667033,0,208,792,0,0,0,1000,0,163017110887.49374,161121023181.15323,1896087706.3398273,7647537229.562492,61336002.5978889,0,3072111566.205929,1738724963.4706254,1776905128.4858308,-36564.22354315394,0,181325532.3163877,147132821.51817563,75613023.2771295,-728.2616153318463,0,0,316669.1173665395,0.11069152825149944,0,0.005865920037405061,0.002207218043301421,0.017024131725360166,0.027231029419513546,-0.14079984161213632,70212515.65084285,19266426.00623699,3156962.459200245,18633751.00017307,20198106.144157,-381851660.6420946,-192994258.3988441
