,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006161036439528781,0.002203041015417989,0.11837624413997973,0.24027329108187068,-0.18078058829571164,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,59,774,62,105,8,992,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,2268316.71341937,76618563.91535744,107225073.8413444,12403470.8683408,0,173544.253067937,5884223.821690779,5929990.411297106,947451.338478723,0,0,0.0,0.0,0,0.005927509011223117,0.002203041015417989,0.03501430142615203,0.24027329108187068,-0.1805110099364756,3529981.604171682,1024507.950572449,272226.284577348,8452615.864135904,1624078.3232700205,-134964.63303518874,-51950.207852948035
2,2022,0.05972962709646766,0,126,874,0,0,0,1000,0,55634391075.99874,55632956805.596405,1434270.4035676073,3298899208.6963573,0.0,0,87440671.96452852,136056060.18055543,225370649.55411524,11946129.498093769,0,5599867.483037098,11291934.95766823,11928673.045034962,912491.7740500967,0,0,0.6703884072605432,0.0,0,0.005919469592715026,0.002203041015417989,0.03862277009266679,0.05490418424880174,-0.17343307199768584,6211494.241004014,1802764.4187502358,710305.5283114784,11395573.371114267,3119122.93859637,-11235157.479405511,-5382605.980844375
3,2023,0.05836688665777374,0,192,808,0,0,0,1000,0,64869699994.6152,64813883483.006424,55816511.60954892,3720662426.961691,76388.06573669621,0,224285509.20645076,213051806.37732163,359547544.53844833,10587045.642350825,0,14341233.357538013,18146012.221272014,18359783.9750707,801465.2609764047,0,0,25.33315216588188,0.0,0,0.005911184371701144,0.002203041015417989,0.03513978828612157,0.04866040751691778,-0.16663266397512108,9609181.662530847,2788876.5766154504,1192342.3154764147,14836558.179386135,4775933.622090816,-26274679.666735653,-12615970.08513597
4,2024,0.05698711329906456,0,238,762,0,0,0,1000,0,75638070193.72394,75475729964.14795,162340229.5743193,4195179847.470676,2887141.459732787,0,425932288.7186111,318484854.83230746,513078788.1050432,7658638.451058083,0,27049178.816896975,27341148.351359565,25322925.2780484,578603.8128447714,0,0,101.58102091586497,0.0,0,0.00590272943344326,0.002203041015417989,0.031034909911165788,0.04276267848662803,-0.16009890376511413,14155608.207959104,4108387.7426170795,1699619.153110008,17545315.274248328,6646445.693299887,-49228985.710196435,-23744192.10849835
5,2025,0.055598969189164155,0,240,760,0,0,0,1000,0,88193989845.88063,87864979151.31493,329010694.56529814,4729952552.170357,8230116.231639866,0,706799576.0791473,463692994.5957952,691484736.6866418,4312500.105446695,0,44400758.70344338,39835758.68949952,33034407.03034997,321446.0812972407,0,0,1418.1860066855613,0.0,0,0.005894168816742952,0.002203041015417989,0.027110953820585582,0.038009918710432564,-0.15382133595738579,20269172.82406365,5882730.007782289,2216844.6820306703,19895419.68908191,8743853.969529575,-81049141.735869,-39187129.85948714
6,2026,0.054209698950969866,0,240,759,0,1,0,1000,0,102834192160.29462,102266303827.47911,567888332.8171645,5333002051.320722,16342838.71526551,0,1089140600.9103544,660805021.058419,898864773.8074746,730752.4125033871,0,67537781.98942444,56638030.39210378,41597101.75179448,68558.2723169622,0,0,10091.087096946861,4.003004950919389,0,0.005885556264851936,0.002203041015417989,0.02382092838976844,0.034219535554768116,-0.14778991510415773,28365848.613201097,8232631.40935779,2732046.3258072888,21968525.08994033,11052782.227205008,-122924747.57174225,-59440086.20179337
7,2027,0.05282533692132992,0,229,771,0,0,0,1000,0,119904668058.90309,119007189532.12447,897478526.7809993,6013272460.5391035,27626619.36606049,0,1594565444.0824466,924904102.9932742,1139934555.408639,497384.70989934163,0,97434063.4419631,78990126.6888266,51124492.29626582,42269.72261710088,0,0,42414.75595795621,4.003004950919389,0,0.005876936726050634,0.002203041015417989,0.021208333451898292,0.03112530055107412,-0.14199498964529317,38943050.01156902,11302456.734970715,3229812.9958540048,23010443.050112315,13514862.826221148,-178844620.5158027,-86492193.50345697
8,2028,0.0514508847429268,0,216,784,0,0,0,1000,0,139808842956.6815,138470593182.76047,1338249773.9230084,6780684724.697421,42735231.984088175,0,2252646737.844332,1275106143.0576677,1420208762.5913184,561999.7045888802,0,135435369.0825189,108456819.34714074,61745854.67838707,38957.34349064436,0,0,131305.21030384515,4.003004950919389,0,0.005868347639563797,0.002203041015417989,0.018864055416195156,0.02870998310215991,-0.1364272864637412,52610510.72279524,15269169.237449456,3689709.913204036,24110263.48518898,16088134.069577467,-249198550.28702018,-120607320.8673739
9,2029,0.05009046351667033,0,212,788,0,0,0,1000,0,163017110887.49374,161100683729.70734,1916427157.785999,7646529935.711277,62343296.449114986,0,3094010805.19214,1731369241.0556638,1746083455.5212262,561999.7045888802,0,182850938.65905377,146599982.13175246,73606146.64001969,38957.34349064436,0,0,333873.19496173883,4.003004950919389,0,0.005859820037405055,0.002203041015417989,0.016905014902592004,0.026441736272503145,-0.13107789604657122,69953944.204698,20302760.764225494,4098325.5985050593,24107953.121685542,18691921.342057567,-338152179.9122033,-163587929.15347093
