,RunId,iteration,Step,avg_consumer_income,consumer_repairing,consumer_selling,consumer_recycling,consumer_landfilling,consumer_storing,consumer_buying_new,consumer_buying_used,avg_new_product_price,avg_used_product_price,new_price_to_income,used_price_to_income
51,0,0,51,4610.957,0,0,246,0,680,56,8,4660.375,3710,1.0107175148239291,0.8046052045161123
52,0,0,52,4610.957,1,0,49,0,689,241,15,4679.625,3698,1.0148923531492486,0.8020027078977313
53,0,0,53,4610.957,1,0,238,0,695,51,3,4682.625,3687,1.0155429773038438,0.7996170859975488
54,0,0,54,4610.957,0,0,59,0,690,228,22,4690.5,3681,1.0172508657096564,0.7983158376883583
55,0,0,55,4610.957,0,0,234,0,696,58,2,4693.25,3690,1.017847271184702,0.800267710152144
56,0,0,56,4610.957,0,0,54,0,697,217,27,4693.25,3675,1.017847271184702,0.7970145893791679
57,0,0,57,4610.957,0,0,242,0,695,56,3,4694.625,3685,1.0181454739222247,0.799183336561152
58,0,0,58,4610.957,0,0,50,0,701,215,31,4698.5,3674,1.0189858634552436,0.7967977146609695
59,0,0,59,4610.957,0,0,243,0,697,50,3,4701.875,3674,1.0197178156291633,0.7967977146609695
60,0,0,60,4947.419,0,0,65,0,684,240,10,4701.875,3695,0.9503692733524288,0.7468540667366156
61,0,0,61,4947.419,0,0,234,0,697,63,3,4701.875,3712,0.9503692733524288,0.7502902018203835
62,0,0,62,4947.419,0,0,75,0,688,229,8,4701.875,3735,0.9503692733524288,0.7549390904631283
63,0,0,63,4947.419,1,0,239,0,682,74,1,4701.875,3758,0.9503692733524288,0.7595879791058732
64,0,0,64,4947.419,0,0,55,0,699,236,6,4721.375,3768,0.9543107224191038,0.7616092350375014
65,0,0,65,4947.419,0,0,221,0,713,59,0,4724.5,3777,0.9549423648977376,0.7634283653759668
66,0,0,66,4947.419,0,0,68,0,703,220,8,4732.5,3777,0.9565593696430401,0.7634283653759668
67,0,0,67,4947.419,0,0,229,0,701,68,1,4735.25,3789,0.9571152150242379,0.7658538724939206
68,0,0,68,4947.419,0,0,58,0,711,221,9,4735.25,3800,0.9571152150242379,0.7680772540187116
69,0,0,69,4947.419,0,0,226,0,714,59,0,4736.625,3818,0.9573931377148368,0.7717155146956424
70,0,0,70,4947.419,0,0,56,0,715,219,8,4740.5,3819,0.9581763743883427,0.7719176402888052
71,0,0,71,4947.419,0,0,229,0,709,58,0,4744.0,3822,0.9588838139644126,0.7725240170682937
72,0,0,72,5275.758,0,0,51,0,708,229,4,4744.0,3806,0.8992072797880418,0.7214129230339982
73,0,0,73,5275.758,0,0,234,0,704,59,0,4744.0,3801,0.8992072797880418,0.7204651919212367
74,0,0,74,5275.758,0,0,43,0,712,232,5,4744.0,3808,0.8992072797880418,0.7217920154791028
75,0,0,75,5275.758,0,0,236,0,712,51,0,4744.0,3813,0.8992072797880418,0.7227397465918641
76,0,0,76,5275.758,0,0,46,0,715,235,2,4763.875,3827,0.9029745109612686,0.7253933937075961
77,0,0,77,5275.758,0,0,240,0,709,46,2,4767.0,3830,0.9035668429067444,0.725962032375253
78,0,0,78,5275.758,0,0,53,0,703,241,2,4775.0,3830,0.9050832126871627,0.725962032375253
79,0,0,79,5275.758,0,0,243,0,699,54,0,4777.875,3834,0.9056281580770005,0.7267202172654622
80,0,0,80,5275.758,0,0,40,0,709,241,6,4777.875,3836,0.9056281580770005,0.7270993097105667
81,0,0,81,5275.758,0,0,230,0,715,44,0,4779.25,3847,0.9058887841330099,0.7291843181586418
82,0,0,82,5275.758,0,0,58,0,698,236,5,4783.125,3836,0.9066232757454,0.7270993097105667
83,0,0,83,5275.758,0,0,225,0,709,60,1,4786.625,3834,0.9072866875243331,0.7267202172654622
84,0,0,84,5599.492,0,0,62,0,707,228,2,4786.625,3832,0.8548320097608855,0.6843477944070641
85,0,0,85,5599.492,0,0,231,0,701,63,0,4786.625,3833,0.8548320097608855,0.6845263820360846
86,0,0,86,5599.492,0,0,57,0,702,235,1,4786.625,3839,0.8548320097608855,0.6855979078102085
87,0,0,87,5599.492,0,0,228,0,705,62,0,4786.625,3845,0.8548320097608855,0.6866694335843323
88,0,0,88,5599.492,0,0,48,0,717,230,3,4806.625,3856,0.8584037623412981,0.6886338975035592
89,0,0,89,5599.492,0,0,241,0,706,49,1,4809.75,3863,0.8589618486819875,0.6898840109067037
90,0,0,90,5599.492,1,0,54,0,700,241,3,4817.875,3870,0.8604128731677801,0.6911341243098481
91,0,0,91,5599.492,0,0,245,0,696,54,1,4820.75,3883,0.8609263126012145,0.6934557634871164
92,0,0,92,5599.492,0,0,55,0,695,246,3,4820.75,3880,0.8609263126012145,0.6929200006000544
93,0,0,93,5599.492,0,0,239,0,702,56,0,4822.125,3892,0.8611718705911179,0.695063052148302
94,0,0,94,5599.492,0,0,42,0,712,239,3,4826.0,3898,0.8618638976535729,0.6961345779224258
95,0,0,95,5599.492,0,0,235,0,716,46,0,4829.5,3900,0.862488954355145,0.6964917531804671
96,0,0,96,5916.754,0,0,53,0,701,234,4,4829.5,3891,0.8162414729427656,0.6576240959147532
97,0,0,97,5916.754,0,0,237,0,702,60,1,4829.5,3884,0.8162414729427656,0.6564410147861479
98,0,0,98,5916.754,0,0,60,0,701,233,4,4829.5,3885,0.8162414729427656,0.6566100263759487
99,0,0,99,5916.754,0,0,231,0,707,62,0,4829.5,3892,0.8162414729427656,0.657793107504554
