,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006062136439528766,0.0021181304842077917,0.1180636423494393,0.2757779341464043,-0.20331654368500257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,45,923,12,20,23,977,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,2869850.7685076282,91235289.29398833,101099183.22001487,4276067.659733874,0,215932.356788873,7001046.93767345,5460238.219473319,322042.0092840967,0,0,0.0,0.0,0,0.005828609011223107,0.0021181304842077917,0.03248588780835462,0.2757779341464043,-0.20301335991528008,4203405.498631472,1166658.761175017,181822.81958081375,10091990.937029881,1771523.094294482,-273899.89474011975,-136864.6714006214
2,2022,0.05972962709646766,0,1,999,0,0,0,1000,0,55634391075.99874,55632576443.7912,1814632.2086894743,3298899208.6963573,0.0,0,72124361.71417008,158212572.6070089,227735524.9024652,4895965.180069183,0,4444959.970897597,13094020.397792997,11969732.760066254,365860.36242279084,0,0,0.8504153985056648,0.0,0,0.0058205695927150344,0.0021181304842077917,0.03664733402991544,0.060625908038674375,-0.1950530922134307,7225074.358692845,2005325.516049862,567118.1942949845,14878477.360383008,3373217.8187827677,-222431.0948950049,-85395.87155550659
3,2023,0.05836688665777374,0,162,838,0,0,0,1000,0,64869699994.6152,64823428198.75794,46271795.85812071,3720642169.2038097,96645.82361910514,0,187247564.0191038,239363115.3619639,379453866.0210259,5081719.869093442,0,11724199.907672653,20293783.343303975,19497352.40438826,373120.15997090656,0,0,21.093615686895653,0.0,0,0.005812284371701132,0.0021181304842077917,0.034059052721454625,0.05756308205675219,-0.1874049510726684,10806105.675201707,2999243.7951231897,1006153.1309549578,18937170.710938554,5111179.557888386,-16029283.897786409,-8025938.7352485685
4,2024,0.05698711329906456,0,222,778,0,0,0,1000,0,75638070193.72394,75502658774.65962,135411419.06273836,4195672568.6707993,2394420.2596115493,0,359201513.7277143,346622391.03676605,559202640.2144159,5502388.275564996,0,22522848.03060656,29633444.77986274,28091702.700202417,394160.5813719269,0,0,97.73594246438651,0.0,0,0.005803829433443272,0.0021181304842077917,0.030437896930506962,0.04983437434850657,-0.1800566978354777,15431281.797084669,4282965.350497533,1471705.563388052,21481493.326951355,7057017.653857482,-40656213.10125916,-20393989.252860326
5,2025,0.055598969189164155,0,249,751,0,0,0,1000,0,88193989845.88063,87917074926.06987,276914919.81034213,4731317217.961879,6865450.440111684,0,613458367.9720086,494041642.11659837,761251454.0323421,4618562.957980435,0,38212880.178489864,42280199.13710257,37239996.79318129,321015.32216766995,0,0,1253.8099551388127,0.7574218941510009,0,0.0057952688167429425,0.0021181304842077917,0.026763539087444735,0.044246266297726336,-0.17299657372896793,21637938.797182873,6005628.264920212,1934160.238957072,23588352.212931223,9239810.32266578,-74610538.13430104,-37444260.60908199
6,2026,0.054209698950969866,0,238,762,0,0,0,1000,0,102834192160.29462,102344479278.4501,489712881.84631926,5335591724.774364,13753165.261624657,0,972049861.0345682,692972056.0875459,989869961.1683097,3078498.0524329836,0,59886396.76919592,59213012.38940723,47061047.23494512,219232.18087417303,0,0,8625.115537665471,0.7574218941510009,0,0.0057866562648519445,0.0021181304842077917,0.02368210821919748,0.03983112766456423,-0.1662132810483286,29809307.614331465,8273598.610494187,2380728.3909895723,24742154.672331613,11644611.868897857,-120587845.16754363,-60560064.10621595
7,2027,0.05282533692132992,0,232,768,0,0,0,1000,0,119904668058.90309,119109971298.31618,794696760.5892011,6017094050.667823,23805029.237349417,0,1467585762.4126294,958273961.7971107,1238349208.676193,4729053.971167109,0,89142629.03597265,81640350.46113256,57039674.15647171,318659.1879721549,0,0,35903.39301317324,0.7574218941510009,0,0.00577803672605065,0.0021181304842077917,0.021011184202924544,0.0361888619520948,-0.15969596507809117,40434682.25593318,11222680.353958473,2792629.8958211383,25794740.446483962,14240504.584057543,-179126682.15738657,-90102870.99974799
8,2028,0.0514508847429268,0,221,779,0,0,0,1000,0,139808842956.6815,138588675401.6204,1220167555.0634546,6785634283.107467,37785673.574041545,0,2124991831.9289782,1309145129.9608183,1518843990.38268,3911248.751877569,0,127095156.33586852,111140784.05900788,67668611.74949414,262236.76163008815,0,0,111078.98636985202,0.7574218941510009,0,0.005769447639563786,0.0021181304842077917,0.018786594861429185,0.033017478610919936,-0.15343419672226818,54128257.26965315,15023343.712933721,3143553.230796467,25837439.475379944,16968875.94982632,-254822203.48297307,-128227456.40934916
9,2029,0.05009046351667033,0,218,782,0,0,0,1000,0,163017110887.49374,161224818802.38922,1792292085.1038287,7652160147.099929,56713085.06045703,0,2965183288.9180145,1766100711.108899,1844806131.9444249,1913393.1225187394,0,174464043.2277826,149300006.9023744,79530396.28038208,140571.59590128678,0,0,283642.1880606539,0.7574218941510009,0,0.00576092003740506,0.0021181304842077917,0.01680675153954559,0.03023975533122675,-0.14741795581557526,71498013.36125965,19844334.247951932,3413404.870635518,25646106.986465573,19781592.919855915,-349129411.79701984,-175759704.0161193
10,2030,0.04874744414096422,0,202,798,0,0,0,1000,0,190077951294.8198,187544034735.29596,2533916559.521435,8629386278.696125,81412303.09349175,0,4018824794.3870845,2350842991.4568224,2223804790.8885,-405866.42403577233,0,232341427.02445683,197809818.80828527,92794313.25886431,-16183.643755244866,0,0,633141.585000993,0.7574218941510009,0,0.0057524794883862885,0.0021181304842077917,0.015173892792959097,0.02809697063251273,-0.14163761508902853,93137474.12373959,25850384.935631163,3590072.625869384,24801643.38937693,22591741.723236233,-465459899.51842624,-234542292.01917645
11,2031,0.048347307021661644,0,193,807,0,0,0,1000,0,221630891209.75455,218158060379.53476,3472830830.222252,9732033907.703518,112482775.34521368,0,5313454723.042505,3088529101.286817,2664649027.9251456,-402441.9568156152,0,301549160.3597577,258426141.3854647,107650959.60895254,-15993.246907782046,0,0,1278738.8395137815,0.7574218941510009,0,0.005744146906789468,0.0021181304842077917,0.013745881572299841,0.02630245562724499,-0.13608392476426037,119704952.94887282,33224211.21619458,3662425.9680653266,24952462.252898186,25310096.568979405,-602069469.3634664,-303519531.0134765
12,2032,0.047914186611052303,0,180,820,0,0,0,1000,0,231604281314.20035,226967615575.2673,4636665738.928386,10976707306.650345,150656180.90165633,0,6883683168.917442,4003493811.101642,2791507276.78636,-746183.807089422,0,384182429.95924276,331703049.5384912,109532164.8626673,-40450.39954440591,0,0,2388808.359250366,0.7574218941510009,0,0.0057416643102932196,0.0021181304842077917,0.012568896766938025,0.024674370098103453,-0.13074799775190066,152386568.6603437,42295021.3751374,1356614.261697538,25308213.427951194,27681593.846000697,-763258334.5283238,-384894688.8536148
13,2033,0.04745098729248948,0,167,833,0,0,0,1000,0,242026473973.32977,235969008832.80472,6057465140.529847,11324291575.570324,196575719.05065605,0,8756406590.490282,5124063320.4857235,2921128008.360553,-746183.807089422,0,481083021.2022953,418833786.584622,111316864.249809,-40450.39954440591,0,0,4189417.0706506474,0.7574218941510009,0,0.005738977073438803,0.0021181304842077917,0.011534980202389453,0.02330149671899455,-0.12562129543033784,192053609.92007402,53304642.319541246,-1583126.6418030201,27746567.114990592,29535835.15149665,-947488905.7243103,-477866621.00563574
14,2034,0.04696044451987401,0,156,844,0,0,0,1000,0,252917665302.13074,245153647134.51947,7764018167.61513,11668948519.787857,250977117.37774593,0,10961507401.793821,6475585233.439714,3053387482.6048417,-1.1922051030469231e-09,0,593203904.2719214,520471441.4143646,113001623.26642266,-4.6986907002437606e-11,0,0,6970639.367182742,0.7574218941510009,0,0.005736103216078753,0.0021181304842077917,0.01064657735953567,0.022135511636435474,-0.12069561398210263,239433629.0077883,66455006.80170169,-5225102.403171435,30833825.127908677,30714893.61783847,-1159264400.2345986,-584857986.5677739
15,2035,0.04644513338839637,0,140,860,0,0,0,1000,0,264298960240.7286,254513155001.09897,9785805239.631918,12010228270.626417,314388650.06354624,0,13524289318.620161,8089423681.403252,3188165092.0458326,-1.1922051030469231e-09,0,720980631.2471772,637417317.89338,114583757.73678224,-4.6986907002437606e-11,0,0,11089836.29420824,0.7574218941510009,0,0.005733059709965966,0.0021181304842077917,0.009855275236166501,0.021051446242095012,-0.11596307126600965,295424747.5884353,81995389.25144836,-9653441.77634413,38042493.95368037,31039196.577609472,-1393251968.6384103,-702884627.0805248
16,2036,0.045907476797893386,0,129,871,0,0,0,1000,0,276192413451.56696,264042747624.3666,12149665827.197088,12347727388.546284,387293268.8912057,0,16471527927.93788,9993496908.904633,3325391935.135418,-6.905882686426686e-69,0,865217611.6131157,769532604.3339427,116062917.93034473,3.0112860551279176e-70,0,0,16971415.364782136,0.7574218941510009,0,0.005729862531929356,0.0021181304842077917,0.009188144148745478,0.020115407343855335,-0.11141609420405031,360760477.5905023,100129376.52664557,-14936683.298811862,47347512.530945405,30318024.966985583,-1655613380.2401261,-835267280.8325158
17,2037,0.04534975322749448,0,117,883,0,0,0,1000,0,288621072056.8847,273738673049.87936,14882399007.004477,12681203807.799524,470013674.21371996,0,19826983482.627365,12221381927.260454,3465013983.4958973,-6.905882686426686e-69,0,1026332281.0298456,916820933.3884357,117439569.86252277,3.0112860551279176e-70,0,0,25102935.573748294,0.7574218941510009,0,0.005726526714522349,0.0021181304842077917,0.008585883309613605,0.01931775677703372,-0.1070474066628519,436322414.73827904,121101656.26827662,-21157034.181969013,61654342.06423013,28361797.99579136,-1941321845.4457862,-979410541.3432087
18,2038,0.044774104139395074,0,102,898,0,0,0,1000,0,301609020299.4399,283600137905.89655,18008882393.547283,13010473096.94866,562816070.278124,0,23624656901.163105,14800463063.980587,3607019812.5564528,1.2889592749881992e-99,0,1204892728.3903592,1079046528.4926894,118715782.39549512,9.36423404905954e-101,0,0,36027893.77772226,0.7574218941510009,0,0.005723066394259733,0.0021181304842077917,0.008034611585996727,0.01856679655039497,-0.10285001781031215,522732974.80347323,145084980.50166813,-28372380.855412435,79453610.62096907,25030406.899527896,-2254676227.412675,-1137584302.5702286
19,2039,0.04418254102879403,0,91,909,0,0,0,1000,0,315181426212.91693,293621663904.75134,21559762308.167397,13335466508.211506,665852131.946913,0,27895184911.775154,17767370054.98335,3751330534.619506,1.2889592749881992e-99,0,1401922215.3718157,1255638987.1371636,119891588.353598,9.36423404905954e-101,0,0,50335813.49547875,0.7574218941510009,0,0.005719494857553353,0.0021181304842077917,0.007554535969828918,0.017895088341983036,-0.0988172109287763,620875611.9947901,172324552.691729,-36665242.43396103,101801852.32947457,20098695.861669507,-2593964225.6301794,-1308706454.2979238
20,2040,0.04357695213626693,0,77,923,0,0,0,1000,0,329364590392.49786,303798911386.0619,25565679006.43803,13655973972.417545,779416026.0350078,0,32667478143.541473,21166675040.48791,3897883658.3044004,1.2889592749882026e-99,0,1617718501.6474404,1447012559.8781703,120967811.51325825,9.364234049059585e-101,0,0,68650400.16517049,0.7574218941510009,0,0.0057158245844523645,0.0021181304842077917,0.007097087327917248,0.01727345229712776,-0.09494253266685576,731835933.7500654,203121684.1035657,-46136821.00846342,130479863.99865292,13349387.034100633,-2958380083.0864873,-1492476214.8410563
21,2041,0.042959108838115594,0,64,936,0,0,0,1000,0,344185996960.16266,314129817866.9766,30056179093.18618,13971842089.545149,903746437.295668,0,37978970884.62811,25038247916.379555,4046649483.7542343,1.1015437121652326e-129,0,1853271208.892102,1653135865.4127214,121946446.87165129,9.016580681431383e-131,0,0,91616555.90354231,0.7574218941510009,0,0.005712067290289401,0.0021181304842077917,0.006690971771322462,0.016702275301557767,-0.09121978271268946,856479876.104531,237716716.01818225,-56867724.6669567,166829689.03342047,4558765.892205069,-3346485382.0050864,-1688390747.4558253
