Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,EoL-repaired,EoL-sold,EoL-recycled,EoL-landfilled,EoL-stored,EoL-new repaired weight,EoL-new sold weight,EoL-new recycled weight,EoL-new landfilled weight,EoL-new stored weight,EoL-used repaired weight,EoL-used sold weight,EoL-used recycled weight,EoL-used landfilled weight,EoL-used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006105936439528772,0.0021830618184485303,0.11926003018924358,0.2534370345749436,-0.18883636940382756,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.06106501304191908,0,59,894,21,26,10,990,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,880104.9570621649,83610416.07648848,103655316.6160147,5819322.099151901,0,67645.62611293208,6442043.28295319,5658327.000870729,438904.4805941038,0,0,0.0,0.0,0,0.0058724090112231096,0.0021830618184485303,0.03405057729851471,0.2534370345749436,-0.18855477833750853,3852111.2323796256,1045519.8179026433,208470.09153834407,9351956.88347295,1769258.8684961302,-28086.837832503163,89.69845299313329
2022,0.05972962709646766,0,68,932,0,0,0,1000,0,55634391075.99874,55633834579.97231,556496.0276175011,3298899208.6963573,0.0,0,84019966.89794286,143326262.37283877,217703008.94129065,4861202.083311175,0,5282963.108209158,11907476.200146263,11398927.213747216,367533.8206588408,0,0,0.2598408057437873,0.0,0,0.00586436959271503,0.0021830618184485303,0.03878628189644646,0.058033267580768835,-0.18116143972838544,6546181.584003083,1776730.2564200845,620116.3197067465,12908492.274460375,3337335.1705983896,-10721982.5048109,-5345513.6266258
2023,0.05836688665777374,0,185,815,0,0,0,1000,0,64869699994.6152,64816369164.092575,53330830.52341961,3720709176.5052667,29638.522160198965,0,215659488.80380875,217996063.7869241,349932008.7032396,4349875.096519421,0,13670942.93826076,18573695.16604488,17707587.04453216,328610.189761861,0,0,24.140637223124237,0.0,0,0.005856084371701132,0.0021830618184485303,0.03565192953117644,0.052506589678387575,-0.1740579980726629,9841229.136165133,2671054.7732614256,1079898.529586934,16272734.122913571,5066952.761994795,-26157376.816855967,-13063818.054253858
2024,0.05698711329906456,0,244,756,0,0,0,1000,0,75638070193.72394,75482098209.8775,155971983.8449002,4195309701.8871465,2757287.0432668594,0,409107675.5328898,318815439.49717844,503519089.74550027,2802410.268303278,0,25887411.322722137,27384373.815230165,24673393.42664408,211032.74984769535,0,0,80.5963080394807,0.0,0,0.005847629433443265,0.0021830618184485303,0.0315676419252194,0.04548507007257627,-0.1672330863482099,14188707.395966228,3851024.5104579944,1563359.9592621236,18413579.173806597,7029227.870205854,-49933352.31550312,-24906160.65822549
2025,0.055598969189164155,0,241,759,0,0,0,1000,0,88193989845.88063,87877959006.02707,316030839.8529828,4730277146.73798,7905521.664006334,0,680012357.9540747,456972278.74814856,682020185.213131,1794511.3768254784,0,42657510.071940124,39317378.22545008,32389236.93991353,133800.61273861214,0,0,1257.7405028417757,1.1707856765848421,0,0.005839068816742946,0.0021830618184485303,0.027770746922369468,0.040310920361138355,-0.16067578324020862,20005397.598686896,5429760.043956028,2051448.6751521823,20215205.100124326,9248666.118509239,-82438933.43839549,-41180613.97735256
2026,0.054209698950969866,0,259,741,0,0,0,1000,0,102834192160.29462,102288014141.24901,546178019.047113,5333648467.447145,15696422.588836974,0,1048000133.1105582,647042627.4545114,889525766.5090815,1280696.351511168,0,64966625.27795496,55533328.24054,40957429.75892027,96138.22335967465,0,0,9382.729375524033,1.1707856765848421,0,0.005830456264851937,0.0021830618184485303,0.02437254878391612,0.036282307964722614,-0.15437559566472028,27812825.78164215,7548811.234253252,2518243.5527107376,21363955.695292257,11725911.431033911,-126723661.96006888,-63305656.294415794
2027,0.05282533692132992,0,244,756,0,0,0,1000,0,119904668058.90309,119041185621.18484,863482437.7205366,6014331274.350434,26567805.554736964,0,1539256311.605399,903897869.8680353,1130772351.1794202,174698.60944726324,0,94072106.89475076,77299898.36033066,50492262.54010036,13176.055586553332,0,0,40038.863461772286,1.1707856765848421,0,0.005821836726050642,0.0021830618184485303,0.021593177665273293,0.03309835913070884,-0.14832244197751243,38099910.49746341,10340877.789452495,2944558.3458030005,22046948.227731615,14423880.512275128,-184333510.1522283,-92078884.61384527
2028,0.0514508847429268,0,233,767,0,0,0,1000,0,139808842956.6815,138518065606.68542,1290777349.9981818,6782306725.833401,41113230.84809761,0,2180096030.080043,1245164055.5206592,1411240487.1306922,0.0,0,131131373.10359628,106057515.96353258,61121354.089461625,0.0,0,0,124779.57953479604,1.1707856765848421,0,0.005813247639563796,0.0021830618184485303,0.019187368109553297,0.030370906226032515,-0.14250663584127718,51418628.41132725,13955774.319685219,3309457.8018605453,22199452.08950326,17307921.042891808,-258006191.80485547,-128969840.57119833
2029,0.05009046351667033,0,235,765,0,0,0,1000,0,163017110887.49374,161164013267.24243,1853097620.250589,7648751442.474017,60121789.686371215,0,3001018092.516742,1691294671.3182497,1737343370.732174,0.0,0,177526991.45420742,143336473.69555178,72990334.76144668,0.0,0,0,318406.2126411142,1.1707856765848421,0,0.0058047200374050575,0.0021830618184485303,0.01722518100817638,0.02800990478889203,-0.13691887072542505,68376906.85478733,18558501.27136671,3592000.548586144,21680912.92496763,20301204.950531717,-350369921.35670114,-175132000.59509635
2030,0.04874744414096422,0,212,788,0,0,0,1000,0,190077951294.8198,187499018307.9537,2578932986.8635507,8626400834.282686,84397747.50691587,0,4033247886.9606075,2264977906.1197762,2116568882.1430528,0.0,0,234316175.42686796,190986882.9137145,86264561.92637262,0.0,0,0,707070.3078957398,1.1707856765848421,0,0.005796279488386294,0.0021830618184485303,0.015471546842118152,0.026068279291106316,-0.13155020501365058,89607107.34959981,24320690.890606,3775012.663887163,21407199.38705059,23349087.850074552,-462058578.72432303,-231060885.12288833
2031,0.048347307021661644,0,201,799,0,0,0,1000,0,221630891209.75455,218132388257.73804,3498502952.0186725,9729709950.40771,114806732.64103876,0,5308092798.159466,2990709175.291505,2557691083.065539,0.0,0,302601916.12882686,250683607.61307022,101132957.78608856,0.0,0,0,1416737.0523359515,1.1707856765848421,0,0.005787946906789481,0.0021830618184485303,0.01402497250810299,0.02425898639800909,-0.12639204769543852,115744037.23011538,31414639.253132876,3848357.9922057283,21213571.74204789,26343892.39327706,-596090595.8081589,-298214796.3176603
2032,0.047914186611052303,0,188,812,0,0,0,1000,0,231604281314.20035,226961566423.17447,4642714891.021507,10975169830.126884,152193657.42511836,0,6857032990.265525,3893478085.7741804,2684831730.7694764,0.0,0,384263362.29880536,323054665.45627177,103025410.98146306,0.0,0,0,2621265.5332714836,1.1707856765848421,0,0.005785464310293213,0.0021830618184485303,0.01281116551855142,0.022777310025301475,-0.12143614461861406,147990031.3019843,40166677.76300829,1534542.3930629909,21942081.427728895,29049942.42192327,-752751082.6900849,-376630380.68862844
2033,0.04745098729248948,0,175,825,0,0,0,1000,0,242026473973.32977,235983635617.14856,6042838356.185967,11323528330.59734,197338964.02362326,0,8709994731.664818,4999106800.842548,2814750019.7494926,0.0,0,480358878.6810902,409134860.40823466,104821269.57219425,0.0,0,0,4549248.861368215,1.1707856765848421,0,0.0057827770734388065,0.0021830618184485303,0.01175969808182984,0.02155756857013932,-0.11667456528093859,187128183.36777213,50789349.631076455,-1415160.6191294543,22501200.87902223,31307204.53740963,-935349931.6491525,-467821794.07142305
2034,0.04696044451987401,0,158,842,0,0,0,1000,0,252917665302.13074,245188371766.88208,7729293535.252549,11668976941.71215,250948695.4534525,0,10889773271.46763,6339703514.378793,2947298722.7898397,0.0,0,591332252.6614033,510091600.2465959,106516230.89250411,0.0,0,0,7488766.876686712,1.1707856765848421,0,0.005779903216078746,0.0021830618184485303,0.01082185172205262,0.02042986316767315,-0.11209969013961413,234125200.04021776,63545033.29366606,-5092908.9655730985,26301149.36911997,32950147.289934058,-1140911217.5364592,-570645695.2868131
2035,0.04644513338839637,0,146,854,0,0,0,1000,0,264298960240.7286,254571280908.35104,9727679332.379997,12011003481.737043,313613438.95290756,0,13423853494.697123,7941799471.901686,3082413126.5558248,0.0,0,718024674.3532674,626187718.5741636,108109622.4036772,0.0,0,0,11789430.83427363,1.1707856765848421,0,0.005776859709965965,0.0021830618184485303,0.010032554094556974,0.019458398778589875,-0.10770419841838906,289708920.23751175,78631274.97083768,-9567823.57867622,32431755.472849086,33799107.18860097,-1371809750.3952756,-686092871.3829938
2036,0.045907476797893386,0,132,868,0,0,0,1000,0,276192413451.56696,264127626285.50723,12064787166.056454,12349346437.788803,385674219.64869785,0,16339131523.201048,9832545184.2209,3220025021.4934297,0.0,0,860985793.0429548,757533994.2662084,109600997.4258905,0.0,0,0,17861505.42461581,1.1707856765848421,0,0.005773662531929362,0.0021830618184485303,0.009338314667620735,0.01860334816110336,-0.10348105639275454,354587334.35436743,96240233.70055866,-14907168.737460045,41120688.28398713,33699146.73514645,-1628327985.9845378,-814194187.8118695
2037,0.04534975322749448,0,119,881,0,0,0,1000,0,288621072056.8847,273853597397.70062,14767474659.183384,12683759036.88988,467458445.123377,0,19663704052.11795,12039841925.920458,3360079536.1771617,0.0,0,1020860720.2666137,903857844.5353662,110990679.3107164,0.0,0,0,26172261.79078467,1.1707856765848421,0,0.005770326714522352,0.0021830618184485303,0.008725555487028028,0.017866787781699266,-0.09942350613448458,429450990.37279266,116559334.3926636,-21176483.03452478,53497031.50594883,32486672.347872127,-1909859422.6733267,-954960155.7101117
2038,0.044774104139395074,0,109,891,0,0,0,1000,0,301609020299.4399,283745637393.7372,17863382905.706787,13014048664.115168,559240503.1116213,0,23423351930.4541,14598362898.581028,3502525451.7474403,0.0,0,1198384817.7079985,1064729192.5293586,112279359.19153272,0.0,0,0,37240001.525607936,1.1707856765848421,0,0.005766866394259736,0.0021830618184485303,0.008168714073400807,0.017156556508783272,-0.09552505469750902,515172694.52487767,139825469.5348794,-28458495.967649635,70822409.38694659,29980563.262064256,-2215541833.846668,-1107747123.8343863
2039,0.04418254102879403,0,94,906,0,0,0,1000,0,315181426212.91693,293802449454.7328,21378976758.186214,13340049706.515965,661268933.6424581,0,27650984140.734547,17542299064.29074,3647344093.9336143,0.0,0,1393869673.019819,1240301053.3452322,113468953.3894615,0.0,0,0,51626403.215023145,1.1707856765848421,0,0.005763294857553354,0.0021830618184485303,0.007672076267998735,0.016538491546274865,-0.09177946372781469,612555477.3023033,166256593.44959825,-36829159.75646893,92681372.39657289,25986887.39598262,-2546541806.039218,-1273206736.100537
2040,0.04357695213626693,0,83,917,0,0,0,1000,0,329364590392.49786,304019794670.4584,25344795722.04181,13661685686.10976,773704312.3427955,0,32382613493.675343,20909993714.65387,3794474422.1878643,0.0,0,1608531544.340465,1430131041.9984317,114560178.19091874,0.0,0,0,69927712.70557116,1.1707856765848421,0,0.005759624584452358,0.0021830618184485303,0.007226237819027408,0.015959861003942165,-0.08818073948074806,722483972.5597949,196092808.8158212,-46372374.42666868,119825199.20515063,20308346.791451957,-2902735851.1694417,-1451281752.3473597
2041,0.042959108838115594,0,70,930,0,0,0,1000,0,344185996960.16266,314391156861.48834,29794840098.67389,13978798304.355595,896790222.485248,0,37654655866.15293,24744362860.742393,3943822603.160445,0.0,0,1843019416.9356716,1634642086.5793142,115553008.57772972,0.0,0,0,92765002.35338858,1.1707856765848421,0,0.005755867290289402,0.0021830618184485303,0.006806617607298652,0.015414064442374574,-0.08472312322974504,845930153.771285,229597923.57370552,-57180474.11676868,153573578.9180931,12742389.894874072,-3282524318.194505,-1640859143.6576896
2042,0.04233067172953547,0,56,944,0,0,0,1000,0,359674366823.3655,324909729254.4618,34764637568.90823,14291177730.51392,1030822983.3846506,0,43496082481.83234,29094694933.989464,4095290618.9327245,0.0,0,2097777708.8962677,1854531409.6821334,116447611.16931471,0.0,0,0,120773514.57832104,1.1707856765848421,0,0.005752033965328491,0.0021830618184485303,0.006424152839941366,0.014914021378264659,-0.0814010820511399,984001817.9767239,267072610.18300375,-69358642.70530699,195747386.65168476,3029274.769942941,-3656012859.625129,-1825571121.980924
2043,0.041693196414774494,0,42,958,0,0,0,1000,0,375859713330.4262,335574143194.7109,40285570135.71052,14598627794.340427,1176086474.697311,0,49931255270.85447,34004038023.349667,4248858760.793144,0.0,0,2373073826.9043393,2090299425.6290233,117246605.26940534,0.0,0,0,154591221.38438892,1.1707856765848421,0,0.005748134912507343,0.0021830618184485303,0.00607445374025889,0.014462934540281351,-0.07820929997030697,1137536124.163153,308744085.9432403,-82986056.37061635,247506242.2296157,-9031935.893704612,-4036264018.8702545,-2013918864.576894
2044,0.04104813901781897,0,25,975,0,0,0,1000,0,392773400430.2965,346388819452.4093,46384580977.88069,14901128189.781626,1332689949.9580252,0,56957835674.1306,39518980660.58654,4404590688.066019,0.0,0,2667763242.3681803,2342898092.0229144,117954852.80018604,0.0,0,0,194846988.2886003,1.1707856765848421,0,0.005744179783361534,0.0021830618184485303,0.005749197444641098,0.014029629330270047,-0.07514266945496703,1307412535.5362337,354851050.14297926,-98145412.53697856,309779133.0266122,-23651047.764139287,-4393574472.238691,-2190434140.862388
2045,0.04039686142653156,0,9,991,0,0,0,1000,0,410448203449.6473,357378105152.27216,53070098297.38136,15198824630.013498,1500577899.0177364,0,64568714782.28747,45655064015.506805,4562837000.675227,0.0,0,2980812464.4094925,2611606577.6709213,118584400.44401793,0.0,0,0,242148981.82057413,1.1707856765848421,0,0.005740177612214946,0.0021830618184485303,0.0054634948377286765,0.013682993326233147,-0.07219628324204619,1493497639.6806326,405357292.68449074,-114822119.3456726,382995697.7433392,-40870157.60046919,-4606969441.185963,-2297117389.584464
2046,0.03974063628258418,0,0,1000,0,0,0,1000,0,428918372604.8779,368577646495.2967,60340726109.59153,15492387245.395699,1679171667.812014,0,72771757325.2797,52366644277.95508,4724111005.863245,0.0,0,3312189637.2946987,2892670089.782537,119150268.69755146,0.0,0,0,297074081.84035,1.1707856765848421,0,0.005736136848716132,0.0021830618184485303,0.0052292454002796415,0.013403659416905486,-0.06936542648500783,1693806103.1304789,459723964.77590686,-132825761.80985273,463911938.79652095,-60385121.76832116,-4606969441.185963,-2297117389.584464
2047,0.039080651728970954,0,0,1000,0,0,0,1000,0,448219699372.1138,380018775350.0215,68200924022.086174,15782724447.083677,1867655612.7216733,0,81567621661.0588,59563260552.68348,4888863884.248128,0.0,0,3661742882.653852,3180198947.6808486,119664435.79342106,0.0,0,0,360158870.8037308,1.1707856765848421,0,0.005732065388797735,0.0021830618184485303,0.00505016495009462,0.01317119437194384,-0.06664556920909238,1905101506.6797597,517072654.4984618,-151848124.6483743,546958564.7503748,-81644463.93899655,-4606969441.185963,-2297117389.584464
