,RunId,iteration,Step,avg_consumer_income,consumer_proffer,consumer_reselling,consumer_recycling,consumer_landfilling,consumer_storing,consumer_buying_new,consumer_buying_used,consumer_recycle_manufactor,consumer_recycle_recycler,avg_new_product_price,avg_used_product_price,new_price_to_income,used_price_to_income
0,0,0,0,3245.8394,0,0,0,0,0,5629,4371,0,0,4498.6,2352,1.3859588986442153,0.7246199550107131
1,0,0,1,3273.4442,67,484,7622,943,884,0,0,2341,5281,4505.0,2333,1.3762263001153343,0.7127049851651664
2,0,0,2,3300.7209,0,0,0,0,0,9131,869,0,0,4505.0,2318,1.3648533567318584,0.7022708281696887
3,0,0,3,3328.4731,78,1435,6219,1219,1049,0,0,2293,3926,4508.9,2302,1.3546451674793465,0.6916084134794419
4,0,0,4,3356.1894,0,0,0,0,0,8919,1081,0,0,4510.9,2289,1.3440540632182436,0.6820234877090071
5,0,0,5,3382.0847,90,1701,5807,1204,1198,0,0,2242,3565,4510.9,2276,1.3337631668420367,0.6729577174693466
6,0,0,6,3408.9932,0,0,0,0,0,8751,1249,0,0,4515.2,2271,1.3244966285060351,0.6661790935810609
7,0,0,7,3436.0,85,1661,5909,1162,1183,0,0,2254,3655,4522.8,2266,1.3162980209545985,0.659487776484284
8,0,0,8,3463.5496,0,0,0,0,0,8638,1362,0,0,4522.8,2258,1.3058279864102424,0.6519323413182823
9,0,0,9,3489.2876,98,1521,5962,1194,1225,0,0,2448,3514,4525.0,2251,1.296826320650668,0.6451173586264428
10,0,0,10,3515.853,0,0,0,0,0,8349,1651,0,0,4532.9,2245,1.289274608466281,0.6385363665659514
11,0,0,11,3544.1144,84,1383,6276,1005,1252,0,0,2522,3754,4547.8,2240,1.2831978561414383,0.632033774079076
12,0,0,12,3572.0794,0,0,0,0,0,8211,1789,0,0,4547.8,2235,1.2731519909663822,0.625685979992494
13,0,0,13,3599.5074,116,1298,6162,1066,1358,0,0,2530,3632,4554.3,2233,1.2652564625926315,0.6203626640689779
14,0,0,14,3626.4666,0,0,0,0,0,7922,2078,0,0,4554.3,2229,1.2558505295485143,0.6146478779095883
15,0,0,15,3653.7576,125,1241,6153,1083,1398,0,0,2488,3665,4558.2,2226,1.2475376034797712,0.6092358179426024
16,0,0,16,3682.3747,0,0,0,0,0,8091,1909,0,0,4560.3,2232,1.2384128100814946,0.6061306037106979
17,0,0,17,3707.7359,133,1393,6071,913,1490,0,0,2514,3557,4560.3,2229,1.229941970785999,0.6011755044365484
18,0,0,18,3735.5761,0,0,0,0,0,7903,2097,0,0,4564.7,2225,1.2219534223917965,0.5956243268608555
