,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006143636439528775,0.00212271184922224,0.12035562703687179,0.24193130685396372,-0.1868311000489034,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,57,778,56,109,6,994,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,3225027.4348328114,75449005.38729008,103938042.4003513,12904989.139410796,0,245426.49346880516,5799049.527976534,5682159.030391881,990148.2670473774,0,0,0.0,0.0,0,0.005910109011223106,0.00212271184922224,0.03584398205851571,0.24193130685396372,-0.18655249922189937,3476097.533809295,974534.3983362531,256685.22922758112,8454073.486806506,1691577.5753785365,-84830.06808603425,-34264.114949853036
2,2022,0.05972962709646766,0,156,844,0,0,0,1000,0,55634391075.99874,55632351872.81401,2039203.1860275245,3298899208.6963573,0.0,0,84511039.06601158,130511890.45177488,225852297.8501536,12721173.47178685,0,5481691.336087665,10824822.48134936,11935319.570551632,973296.6415507996,0,0,0.952885672096779,0.0,0,0.005902069592715039,0.00212271184922224,0.04059574721342008,0.05650725284121265,-0.17923767109987299,5960250.322851246,1670974.1040977251,697110.2369417239,10810196.948551033,3199539.6945391884,-11220361.92395223,-5496297.399859872
3,2023,0.05836688665777374,0,209,791,0,0,0,1000,0,64869699994.6152,64815513472.275444,54186522.34047953,3720630208.7376857,108606.28974654032,0,208413067.09060478,203642296.02042225,369680663.7638466,12778944.120765464,0,13409677.101981685,17346358.7679637,19012767.667932034,962394.962466421,0,0,24.5365415401251,0.05683142987730398,0,0.005893784371701141,0.00212271184922224,0.03633009226242493,0.04938611929927116,-0.17220966149101552,9187367.032607684,2575705.9795744643,1175153.5259003635,13873113.139295826,4905088.37506763,-26586556.2875129,-13039465.275113562
4,2024,0.05698711329906456,0,251,749,0,0,0,1000,0,75638070193.72394,75486365521.5145,151704672.20774934,4195263141.4911494,2803847.4392608483,0,402978349.2867936,305753297.3816287,525973120.6569654,9899599.495763706,0,25696469.516232807,26259681.11905223,26157755.37050997,733419.595924925,0,0,109.18080069314048,0.05683142987730398,0,0.005885329433443273,0.00212271184922224,0.03191000501643838,0.04346965902125636,-0.16545722408056418,13590542.070907505,3810149.34457877,1669874.3065189817,16088304.11024868,6852632.832204741,-50016120.86027532,-24547790.80483227
5,2025,0.055598969189164155,0,239,761,0,0,0,1000,0,88193989845.88063,87883403678.02063,310586167.8594529,4730487543.935416,7695124.4665628085,0,678664107.2573727,447178360.60208625,704491233.7274934,5430667.803732219,0,42745501.96061946,38457043.19645632,33874315.065815724,400517.98705632286,0,0,1447.241292218645,0.05683142987730398,0,0.005876768816742949,0.00212271184922224,0.027864857175660916,0.03841294475078558,-0.15896955352806558,19544831.298379194,5479452.237658203,2166824.2310800566,18093719.36831863,9059307.709932325,-82013359.36845484,-40213540.254000254
6,2026,0.054209698950969866,0,235,765,0,0,0,1000,0,102834192160.29462,102290868627.31462,543323532.9816341,5333916172.92555,15428717.110438898,0,1052124531.7559915,640062330.5858928,911959616.5135653,2083928.3990785293,0,65340911.33354749,54931910.18798146,42440692.77167984,155186.05621926984,0,0,9886.053704980339,0.05683142987730398,0,0.005868156264851936,0.00212271184922224,0.02459756244463976,0.03455093271699175,-0.15273626817652533,27467833.247611977,7700689.663396146,2651439.5323780356,19275321.238662537,11496043.922358636,-125621730.876574,-61578715.6372522
7,2027,0.05282533692132992,0,228,772,0,0,0,1000,0,119904668058.90309,119039627326.51768,865040732.3877633,6014476628.10904,26422451.796118055,0,1546870530.4678006,899498877.7922662,1153142773.5924609,1122627.0978424395,0,94597824.86519097,76927479.00226045,51972647.65889933,77650.36220971217,0,0,40778.34533054762,0.05683142987730398,0,0.005859536726050648,0.00212271184922224,0.021719020493074444,0.03150999228414402,-0.1467473934395426,37858299.54455988,10613688.140177311,3105591.024454425,20646584.445569284,14147761.478617653,-181014624.55460805,-88714185.96541594
8,2028,0.0514508847429268,0,224,776,0,0,0,1000,0,139808842956.6815,138512678123.44257,1296164833.2412612,6782249795.070573,41170161.61092316,0,2193459490.1372533,1242750362.8112116,1433555904.7847319,1.9519871404004725e-09,0,131978367.28512172,105843904.03451921,62599393.38316012,-1.1785359251811e-10,0,0,125314.36293146928,0.05683142987730398,0,0.0058509476395637895,0.00212271184922224,0.019360290482648188,0.02900005490954342,-0.14099334583984346,51254498.44935182,14369352.793627849,3511805.980574173,20632204.804579943,16961508.38977755,-253260380.41288215,-124127190.09457316
9,2029,0.05009046351667033,0,223,777,0,0,0,1000,0,163017110887.49374,161153582537.3683,1863528350.1251655,7648524167.16869,60349064.99170221,0,3019415809.031606,1690943743.4132164,1759586323.317836,1.9519871404004705e-09,0,178598548.2863381,143315894.40479076,74465436.23771615,-1.1785359251811015e-10,0,0,318037.12502001843,0.05683142987730398,0,0.0058424200374050505,0.00212271184922224,0.017450282339973363,0.026750838862523357,-0.13546491767367275,68291186.53043368,19145639.536809403,3848778.9140408533,21139926.941802736,19847016.496283837,-341511301.09142244,-167557621.1349283
