,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006140736439528771,0.0021940696997499016,0.1174285373703822,0.24608871467300628,-0.18483141987222915,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,59,858,37,46,14,986,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,899824.9132625855,83507183.67188135,104127742.71981362,6728045.720362015,0,67714.44411344799,6414113.974945048,5697449.507595481,515304.50446548226,0,0,0.0,0.0,0,0.005907209011223111,0.0021940696997499016,0.03336335449074753,0.24608871467300628,-0.18455580095000873,3847355.094041917,1067607.3655702376,222193.7466398618,9265623.665665388,1708268.5785286974,-40209.594600757075,-6926.05523011769
2,2022,0.05972962709646766,0,123,877,0,0,0,1000,0,55634391075.99874,55633822110.23832,568965.7616256829,3298899208.6963573,0.0,0,87880795.08586504,140536418.43355912,218175317.67011625,6256411.838487484,0,5616242.748768748,11619810.612614136,11438043.569972241,479169.13964647945,0,0,0.2622516828893652,0.0,0,0.005899169592715037,0.0021940696997499016,0.038855261885429385,0.05713199063785787,-0.17731926448706678,6420219.418608996,1781554.697277275,654163.5330421168,11957836.56506193,3197992.7072431496,-10801503.42992505,-5374168.89658882
3,2023,0.05836688665777374,0,210,789,0,1,0,1000,0,64869699994.6152,64813923359.70102,55776634.914959006,3720708512.3774652,30302.64996954832,0,223147603.22997227,214238499.76332712,350369351.70451343,5044234.531365994,0,14290246.243576525,18179252.804079305,17744949.583263073,384800.7410452733,0,0,24.836801704895915,0.12168934141504589,0,0.005890884371701135,0.0021940696997499016,0.035179243646398656,0.05032610354426424,-0.17036647667743132,9672563.178412942,2684051.6252864017,1128996.2691364752,15413349.087380959,4861979.191215461,-25526786.198058683,-12707065.417282686
4,2024,0.05698711329906456,0,233,767,0,0,0,1000,0,75638070193.72394,75476464129.7812,161606063.94105563,4195183270.5328293,2883718.3975771954,0,418469371.277167,315085504.1986565,503910605.1004379,3787437.346188258,0,26621059.650221895,26993180.523726854,24708577.225308325,288398.4451525755,0,0,82.26857483833908,0.12168934141504589,0,0.005882429433443268,0.0021940696997499016,0.03100776087346634,0.044383508060993594,-0.1636863115772666,14021232.829062894,3890769.3926833733,1627082.189615689,18112057.294418953,6753096.423193739,-47892841.596229255,-23867886.736669056
5,2025,0.055598969189164155,0,250,747,0,3,0,1000,0,88193989845.88063,87869967937.50203,324021908.37814015,4729990799.104177,8191869.297818669,0,690191482.4514279,453642065.54886085,682377834.3859872,3834268.423316169,0,43450275.83563786,38931069.71878824,32422938.407971244,283726.39457937476,0,0,1297.2802239945222,0.12168934141504589,0,0.0058738688167429545,0.0021940696997499016,0.027247254815428258,0.039372521895300924,-0.15726807949723443,19854752.163305648,5509519.951496779,2133511.5875956486,19957262.799295098,8880794.936863335,-79423163.08859226,-39559447.51331299
6,2026,0.054209698950969866,0,240,759,1,0,0,1000,0,102834192160.29462,102278639554.92203,555552605.3743473,5333247392.869829,16097497.166158153,0,1061572547.8767914,643424021.2864916,890861374.870286,1347293.5595295776,0,65964527.94707477,55132405.616995774,41059766.34198067,101782.50565266209,0,0,9655.78865779622,7.897085060198395,0,0.00586525626485193,0.0021940696997499016,0.024013643891974964,0.0353517527799588,-0.1511015098967108,27650334.167163715,7672725.728658927,2628206.6486380617,21515266.620042495,11236934.057971396,-121761091.39823322,-60677453.986358084
7,2027,0.05282533692132992,0,241,759,0,0,0,1000,0,119904668058.90309,119029156728.72974,875511330.1757767,6013864847.019626,27034232.88554041,0,1554407075.4666438,900144417.5701818,1132069868.8380365,504990.0554126633,0,95151482.27257968,76883776.1330745,50593086.86486322,38605.23322111187,0,0,41093.73070700774,7.897085060198395,0,0.005856636726050641,0.0021940696997499016,0.02120184986194781,0.032172889139445285,-0.14517673494872999,37932018.278550446,10525803.081664842,3090284.6659892392,22613096.837648254,13790065.405866725,-176905893.4789821,-88088775.9826521
8,2028,0.0514508847429268,0,232,768,0,0,0,1000,0,139808842956.6815,138504062740.65695,1304780216.026715,6781718623.5141,41701333.16739326,0,2197185528.6188436,1240776472.8310297,1412509732.2789695,0.0,0,132344661.2366986,105554029.30071472,61221184.791524224,0.0,0,0,127592.28236615635,7.897085060198395,0,0.005848047639563791,0.0021940696997499016,0.0188424695796242,0.029509486548269074,-0.1394842737493558,51225987.75801397,14214763.260027453,3503224.776690016,22895850.367318586,16494101.913627638,-247853623.74759236,-123303092.88175014
9,2029,0.05009046351667033,0,220,780,0,0,0,1000,0,163017110887.49374,161148058709.35568,1869052178.137415,7648075526.348066,60797705.812325895,0,3018923295.89761,1686037041.4142854,1738584689.0798433,0.0,0,178718553.92675224,142797489.40972677,73089251.76318334,0.0,0,0,324398.89663264557,7.897085060198395,0,0.005839520037405059,0.0021940696997499016,0.016903313193576484,0.027210107790760982,-0.1340150171462126,68151194.04189315,18911359.87011107,3847125.039640094,22398282.09838155,19273342.345779855,-337211037.0657192,-167673926.98125023
10,2030,0.04874744414096422,0,213,787,0,0,0,1000,0,190077951294.8198,187481830347.9964,2596120946.8209124,8625640661.565353,85157920.22424214,0,4052641664.615483,2256928491.155076,2117792646.0361793,0.0,0,235616605.96644348,190184902.65610462,86363048.51848711,0.0,0,0,718047.9158428877,7.897085060198395,0,0.005831079488386296,0.0021940696997499016,0.01524812056178523,0.025280839699880542,-0.12876021316189865,89278079.40915383,24773885.651673283,4112685.4981567785,21953875.49337963,22052205.745761003,-445236581.00958735,-221287433.1201932
11,2031,0.048347307021661644,0,202,798,0,0,0,1000,0,221630891209.75455,218113805549.15845,3517085660.598298,9728898104.119549,115618578.9291947,0,5327470597.557883,2980043905.6425986,2558895002.8084984,0.0,0,303937310.69481444,249590427.56684396,101230957.44166042,0.0,0,0,1434698.1302789894,7.897085060198395,0,0.00582274690678948,0.0021940696997499016,0.013753386874438434,0.023585636942348383,-0.12371145298895418,115320800.29887214,32000512.766079754,4284666.698548679,21793311.877131946,24754983.060821082,-575366484.6247562,-286075141.5227234
12,2032,0.047914186611052303,0,186,814,0,0,0,1000,0,231604281314.20035,226942480975.03207,4661800339.1635685,10974301277.591457,153062209.96055204,0,6876245773.786721,3879146740.3604593,2686028480.083841,0.0,0,385603219.6514552,321608191.7783658,103123446.49933639,0.0,0,0,2648073.5400953274,7.897085060198395,0,0.005820264310293211,0.0021940696997499016,0.012569778988531809,0.022188266333088468,-0.11886065753397629,147435845.84559038,40912156.826280095,2093980.6719336405,22343805.32878344,27104151.527099542,-727173473.0782715,-361645339.17002225
13,2033,0.04745098729248948,0,174,826,0,0,0,1000,0,242026473973.32977,235964469654.2637,6062004319.070845,11322639942.285967,198227352.33502817,0,8725661295.923044,4983613201.485319,2815945680.1521645,0.0,0,481501833.6571074,407468026.55633336,104919573.98167521,0.0,0,0,4586165.024405666,7.897085060198395,0,0.005817577073438793,0.0021940696997499016,0.01151256067346013,0.020905202266270774,-0.11420006448934543,186532855.28279042,51761234.7581725,-716950.3328952773,24272875.545871872,28945974.3821686,-903252144.296451,-449605031.1823875
14,2034,0.04696044451987401,0,166,834,0,0,0,1000,0,252917665302.13074,245171418489.75928,7746246812.3752165,11668085470.548552,251840166.6170812,0,10907725227.982285,6316841987.481872,2948526317.878161,0.0,0,592859274.620197,507592545.6166758,106615988.25665563,0.0,0,0,7535877.028166732,7.897085060198395,0,0.005814703216078744,0.0021940696997499016,0.010631796090441358,0.01981846040849196,-0.10972221591187735,233271576.07107654,64730820.70779766,-4208862.537779416,27252301.554668583,30112621.12621533,-1104059963.0654318,-549733958.098698
15,2035,0.04644513338839637,0,144,856,0,0,0,1000,0,264298960240.7286,254553696161.67953,9745264079.051413,12010194228.818798,314422691.87115717,0,13441388073.66889,7914413968.410688,3083631701.63769,0.0,0,719420897.0459082,623382160.6508746,108209322.58853354,0.0,0,0,11844993.055024628,7.897085060198395,0,0.0058116597099659665,0.0021940696997499016,0.009840427103602178,0.018873801185223717,-0.10541994628852275,288698339.7215399,80111262.51172495,-8477771.585455818,33973789.87796642,30404863.81350363,-1326542304.492438,-660472487.8932
16,2036,0.045907476797893386,0,133,867,0,0,0,1000,0,276192413451.56696,264110073260.10184,12082340191.46184,12348514414.398123,386506243.0393616,0,16355777117.849161,9801596508.070822,3221244127.8386574,0.0,0,862333510.8194,754385669.5926902,109700975.80689144,0.0,0,0,17921243.590685602,7.897085060198395,0,0.005808462531929364,0.0021940696997499016,0.009150226825046789,0.01804201018735065,-0.10128637107001778,353454488.3270481,98080526.98753701,-13582144.572620573,43263853.29187319,29666558.24844446,-1573979715.239982,-783460461.0294365
17,2037,0.04534975322749448,0,119,881,0,0,0,1000,0,288621072056.8847,273836618144.91492,14784453911.969254,12682928123.546038,468289358.4671991,0,19675201631.963463,12010081067.857458,3361306980.603261,0.0,0,1021950425.6599276,900639721.6749197,111091184.41338073,0.0,0,0,26228680.924389865,7.897085060198395,0,0.00580512671452236,0.0021940696997499016,0.00854045555446425,0.017273265225052035,-0.09731487565413652,428358430.91093904,118865715.47628662,-19596782.400292158,57654697.781657495,27703136.032431617,-1843755749.5442858,-917631341.1537061
18,2038,0.044774104139395074,0,105,895,0,0,0,1000,0,301609020299.4399,283732124227.83136,17876896071.61256,13013237235.83278,560051931.3940107,0,23429149176.746357,14570358558.559372,3503802884.97122,0.0,0,1198871623.55114,1061840571.4358952,112381699.39679737,0.0,0,0,37281885.797452375,7.897085060198395,0,0.0058016663942597356,0.0021940696997499016,0.008004159983435288,0.016642453393718004,-0.09349910480091589,514138986.14202076,142669068.77976236,-26588107.737554092,76539305.44505559,24336973.225612443,-2136434164.3914466,-1063102435.2768173
19,2039,0.04418254102879403,0,91,909,0,0,0,1000,0,315181426212.91693,293793815100.1009,21387611112.81833,13339352506.232695,661966133.9257269,0,27648933943.69687,17517221709.846123,3648691860.4681225,0.0,0,1393742154.0693548,1237769333.0647228,113573658.6384654,0.0,0,0,51638524.82076779,7.897085060198395,0,0.005798094857553358,0.0021940696997499016,0.007514376131045739,0.016030200731908955,-0.08983295246291625,611618590.9918679,169718805.95939985,-34631190.20973936,101526027.50635713,19382535.564844284,-2450836983.358592,-1219349340.0013747
20,2040,0.04357695213626693,0,77,923,0,0,0,1000,0,329364590392.49786,304017916206.73114,25346674185.768826,13661144519.491379,774245478.9611467,0,32364455974.251987,20893709497.10744,3795919553.2502894,0.0,0,1607191598.1817417,1428507662.49289,114667928.23581682,0.0,0,0,69890767.7194175,7.897085060198395,0,0.00579442458445236,0.0021940696997499016,0.007065481489366336,0.015464559028304056,-0.08631055201424263,721834112.3631175,200302648.50575885,-43820692.2444662,132718863.42943685,12610278.686006157,-2788371466.745249,-1387264725.8231575
21,2041,0.042959108838115594,0,66,934,0,0,0,1000,0,344185996960.16266,314401947241.5765,29784049718.58575,13978466818.256804,897121708.5840245,0,37619117514.87796,24734138589.677612,3945450246.7379375,0.0,0,1840599630.9240727,1633674112.8245077,115666115.57333644,0.0,0,0,92655756.20367505,7.897085060198395,0,0.005790667290289407,0.0021940696997499016,0.006662462974654884,0.014958784250713435,-0.0829262668626916,845475391.4441632,234612021.31095365,-54219591.02030561,169200567.1730257,3834803.2001420185,-3150520257.6024985,-1567202947.990818
22,2042,0.04233067172953547,0,53,947,0,0,0,1000,0,359674366823.3655,324936167889.95966,34738198933.410995,14291227822.658026,1030772891.240552,0,43443160729.771965,29085039157.859783,4097143679.7705226,0.0,0,2094364130.8153358,1853945731.1300304,116566976.1398175,0.0,0,0,120565168.52717389,7.897085060198395,0,0.005786833965328497,0.0021940696997499016,0.0062917472391601625,0.014465887952659694,-0.07967468143000134,983565098.6496454,272930706.4643767,-65921743.529143944,212999958.13610613,-7176759.678225984,-3477299502.65261,-1727180321.5146408
23,2043,0.041693196414774494,0,40,960,0,0,0,1000,0,375859713330.4262,335617327225.9775,40242386104.44398,14599135273.37547,1175578995.6622417,0,49865062305.6646,33984317816.338737,4250953038.794094,0.0,0,2368839820.699045,2089693696.3492455,117372289.21607529,0.0,0,0,154253896.6568899,7.897085060198395,0,0.005782934912507337,0.0021940696997499016,0.005952672836482738,0.0140153910966118,-0.07655059248577102,1136784650.828379,315447791.1776406,-78989420.35233627,266903345.26863235,-20608624.717502937,-3790292017.9376273,-1881016721.2284794
24,2044,0.04104813901781897,0,27,973,0,0,0,1000,0,392773400430.2965,346446552137.867,46326848292.423355,14902110658.71021,1331707481.0294306,0,56885843728.039925,39474903105.862686,4406894551.053513,0.0,0,2663439201.6755433,2341308531.985237,118085627.72018506,0.0,0,0,194348153.69914043,7.897085060198395,0,0.00577897978336154,0.0021940696997499016,0.005638963791557535,0.01363375810849783,-0.07354900082118197,1305910784.4393466,362378813.0199204,-93493206.53459084,329474193.71900356,-36655999.444931805,-4057696837.1176443,-2014866725.0875854
