,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006145336439528772,0.002147531509403607,0.11718016856746458,0.24242491989652779,-0.18709766210347456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,50,839,40,71,10,990,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,3221054.6103876503,84117312.2648936,103719419.36364704,8019966.3773151105,0,241134.9915442179,6451930.499888118,5662443.558878537,616356.5422335966,0,0,0.0,0.0,0,0.005911809011223114,0.002147531509403607,0.0333042628939746,0.24242491989652779,-0.1868186637815737,3875465.027189345,1095663.8254730396,216083.43185267007,9207853.772547117,1678957.7050815192,-127392.16164531601,-56573.44589330916
2,2022,0.05972962709646766,0,101,899,0,0,0,1000,0,55634391075.99874,55632354382.443115,2036693.556872167,3298899208.6963573,0.0,0,92107813.74663666,144198193.8769653,217745921.19602418,7991063.003345899,0,5875114.531317461,11921411.127674336,11401948.37027698,613948.5894033345,0,0,0.9330211474945302,0.0,0,0.005903769592715037,0.002147531509403607,0.03805239737177166,0.05501790289714027,-0.17949339919788468,6586003.885622539,1861982.0231315286,632917.5923383138,12161062.046700992,3176450.0897511872,-11902467.758850452,-5993972.139683957
3,2023,0.05836688665777374,0,202,798,0,0,0,1000,0,64869699994.6152,64810710919.66715,58989074.94886463,3720630342.3984776,108472.62895536913,0,230867079.1682141,221029321.5415258,349914902.0399293,7595239.221786791,0,14743008.56895145,18742562.183132626,17707629.953158174,582334.2769746459,0,0,26.21897521377771,0.05006706268225027,0,0.005895484371701132,0.002147531509403607,0.03465151226106235,0.049394172512548865,-0.17245536234687964,9976426.9796527,2820515.7503398317,1091931.6039099924,15477139.291362368,4836147.689297089,-28297392.72267252,-14311503.227107726
4,2024,0.05698711329906456,0,238,762,0,0,0,1000,0,75638070193.72394,75470401870.3242,167668323.39799488,4195014924.8689666,3052064.061448517,0,433496500.4602544,326016109.67824405,503415201.6630714,4850755.427806745,0,27527763.06544998,27887785.631297246,24669332.45662592,372842.7912772731,0,0,114.01927324726336,0.05006706268225027,0,0.005887029433443272,0.002147531509403607,0.03053328327481048,0.043143770528636216,-0.16569329086806917,14503610.13046347,4100432.03776194,1569385.0526203127,17877469.497258537,6715846.31594988,-52947685.150471285,-26818485.108089067
5,2025,0.055598969189164155,0,242,757,0,1,0,1000,0,88193989845.88063,87858237149.90083,335752695.9792559,4729679513.317922,8503155.084065318,0,713590301.7504138,470892665.3607106,681800901.1778783,3174937.0366017814,0,44827858.719286874,40345862.52916982,32379967.637609895,240026.22528359538,0,0,1524.3756186148503,0.05006706268225027,0,0.0058784688167429515,0.002147531509403607,0.02672801586688608,0.038078478135252274,-0.15919636400443496,20603214.36729246,5824900.111943605,2045536.4679547069,19704231.04543703,8825133.154142022,-87260195.95855434,-44174978.59482547
6,2026,0.054209698950969866,0,238,762,0,0,0,1000,0,102834192160.29462,102259531017.49432,574661142.801944,5332660190.197373,16684699.83861985,0,1094219413.6036947,668414656.014332,889180545.9829968,1128215.1749910524,0,67843380.88410422,57167462.22098987,40942782.89610861,86286.97294475361,0,0,10546.358176937834,0.05006706268225027,0,0.005869856264851935,0.002147531509403607,0.023632308707763297,0.03440008505587556,-0.15295418528691013,28716730.05807993,8118737.258566221,2503247.332300822,20529676.351344984,11139015.40605317,-133922965.30992419,-67744720.92119716
7,2027,0.05282533692132992,0,239,761,0,0,0,1000,0,119904668058.90309,119001487844.37762,903180214.5279781,6012929144.121904,27969935.783254184,0,1598468114.8751163,934098086.4623532,1130265902.035606,174759.83991804795,0,97663262.51379557,79607989.45127146,50470997.667041756,13814.80997749733,0,0,43667.35265830687,0.05006706268225027,0,0.005861236726050646,0.002147531509403607,0.02090605926584882,0.031369063046648396,-0.1469567658978109,39357384.8133705,11127042.174989348,2922192.631908638,21762306.703431413,13628136.341563754,-192778754.00983816,-97511518.84002681
8,2028,0.0514508847429268,0,227,773,0,0,0,1000,0,139808842956.6815,138466029021.6649,1342813935.018865,6780390509.167494,43029447.51401673,0,2254705557.279703,1285296948.5478957,1410556664.2267923,0.0,0,135563775.51137877,109098650.63455889,61093181.77114952,0.0,0,0,133889.44901241668,0.05006706268225027,0,0.005852647639563795,0.002147531509403607,0.01867323001905042,0.028882688400685773,-0.14119450868659705,53063748.85539315,15002078.371742237,3284179.087281503,22719944.734408956,16229920.721367164,-266895129.28359884,-134960122.59715113
9,2029,0.05009046351667033,0,223,777,0,0,0,1000,0,163017110887.49374,161097703707.60608,1919407179.887419,7646286323.971964,62586908.18841403,0,3091863775.5374484,1743687053.5653472,1736454371.6982503,0.0,0,182741391.85655087,147315679.804122,72954520.66986756,0.0,0,0,338063.7648358001,0.05006706268225027,0,0.005844120037405054,0.002147531509403607,0.016678642428198845,0.026625700854068093,-0.13565819281238337,70488033.94444801,19928237.87076177,3565668.0963229635,23256473.33411805,18883263.178078692,-359797693.16937685,-181876585.9437028
