Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,EoL-repaired,EoL-sold,EoL-recycled,EoL-landfilled,EoL-stored,EoL-new repaired weight,EoL-new sold weight,EoL-new recycled weight,EoL-new landfilled weight,EoL-new stored weight,EoL-used repaired weight,EoL-used sold weight,EoL-used recycled weight,EoL-used landfilled weight,EoL-used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006129236439528777,0.0021481172268173233,0.11869676048448043,0.2338829306004269,-0.17416945942846943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.06106501304191908,0,50,840,43,67,10,990,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,2106061.4315504697,85890059.26153225,103086497.61289418,9356585.316330554,0,160281.40361319543,6582186.649953967,5616178.0701566115,714449.5325458604,0,0,0.0,0.0,0,0.005895709011223109,0.0021481172268173233,0.03347176697236527,0.2338829306004269,-0.17390973952411243,3957139.2842779784,1086972.084353297,160911.6498993639,9691370.779044554,1759053.251788883,-55693.41670160166,-21457.763354960094
2022,0.05972962709646766,0,133,867,0,0,0,1000,0,55634391075.99874,55633059399.80485,1331676.1951762103,3298899208.6963573,0.0,0,94670424.55686708,144696318.86482593,217123164.98530447,8922171.27976783,0,6088325.354168635,11932611.305899581,11356208.270973902,680863.7326697996,0,0,0.6265687131210841,0.0,0,0.005887669592715037,0.0021481172268173233,0.038895371124103295,0.053614959628378665,-0.16709064110049865,6610173.785386427,1815724.4062613286,551133.8618166512,12330289.27762468,3294391.0590419276,-10672491.342321513,-5450812.34559791
2023,0.05836688665777374,0,215,784,0,1,0,1000,0,64869699994.6152,64809349800.78553,60350193.83042514,3720667891.04511,70923.98231469105,0,237010538.68175977,221529416.6128396,349262410.89265376,7801279.3180474825,0,15216414.92992566,18747015.107264597,17660382.76437502,595048.8183467785,0,0,27.392997980816247,0.16418257150784824,0,0.0058793843717011305,0.0021481172268173233,0.0351469771448304,0.04683448765621169,-0.16053892335055023,10000683.815748781,2747051.177943602,969126.7125022922,15618359.932983693,5015112.032063655,-25789192.29306509,-13137020.768580193
2024,0.05698711329906456,0,228,771,0,1,0,1000,0,75638070193.72394,75466016855.58083,172053338.14146358,4194945684.988146,3121303.942264718,0,442240314.0073373,326919942.218387,502719185.61190575,6028925.093681512,0,28160446.069566507,27937737.211230345,24619995.603599276,458839.1209644231,0,0,104.22432489963994,0.24361922692147367,0,0.005870929433443269,0.0021481172268173233,0.031010448137011707,0.0412279382910009,-0.15424410212809292,14545276.714001793,3995388.7420969973,1389985.5408286047,18536237.417961705,6964017.341427054,-47655330.52322461,-24263777.172364306
2025,0.055598969189164155,0,246,754,0,0,0,1000,0,88193989845.88063,87851096046.73145,342893799.148753,4729458602.057144,8724066.34484961,0,727660747.2370297,472528681.4504354,681065218.032016,3670923.8890458792,0,45818638.40106455,40450444.77978214,32328847.798365768,278918.90164622344,0,0,1511.5897480840656,0.24361922692147367,0,0.005862368816742949,0.0021481172268173233,0.027190168238762684,0.03659533029069387,-0.14819610437620406,20675707.400701378,5679334.275169406,1789230.086661468,20851919.84471984,9164655.43130174,-78861503.69019793,-40150154.78181938
2026,0.054209698950969866,0,243,757,0,0,0,1000,0,102834192160.29462,102248008459.47432,586183700.8218837,5332305125.710678,17039764.325303584,0,1114103461.5788064,672065125.2677838,888382030.0102968,864772.9740643675,0,69198990.36552334,57431166.82716583,40888915.38157233,66671.58428363716,0,0,10820.670369754038,12.373070850227062,0,0.005853756264851938,0.0021481172268173233,0.02391336051088583,0.033026446028551114,-0.14238525200817226,28871969.81400897,7930735.552525528,2140242.9354351093,23110677.669758733,11598499.338415423,-120286967.47135958,-61279811.74741146
2027,0.05282533692132992,0,237,762,0,1,0,1000,0,119904668058.90309,118984678278.00299,919989780.9023043,6012367114.362852,28531965.54230733,0,1623987573.8861663,939628749.4474076,1129391280.8833694,1437301.1174929058,0,99350306.97666857,80032736.19643956,50413969.208148114,96605.72099628107,0,0,45347.53357101947,12.373070850227062,0,0.005845136726050642,0.0021481172268173233,0.021285216312611027,0.030262709541087784,-0.13680224642049402,39587926.56437443,10874262.430910304,2422748.960187438,25116141.213900983,14225957.719016595,-173825513.46182624,-88533980.70702209
2028,0.0514508847429268,0,223,777,0,0,0,1000,0,139808842956.6815,138443712150.32654,1365130806.3571434,6779586119.767269,43833836.914217025,0,2288763277.028871,1293443052.489759,1409602770.205021,1365949.91911975,0,137752579.7156064,109739864.81705885,61033049.09502417,90979.16537440474,0,0,139630.95063942234,12.373070850227062,0,0.005836547639563793,0.0021481172268173233,0.01888052074949234,0.027839388528840454,-0.1314381536131244,53396364.35934578,14667251.591361707,2608567.881753097,26774000.721039727,17018536.057081364,-242450045.55246985,-123620691.01608928
2029,0.05009046351667033,0,222,778,0,0,0,1000,0,163017110887.49374,161067963044.10025,1949147843.3929765,7645236937.668137,63636294.492250755,0,3138090680.2775054,1754681643.1859903,1735393612.6038296,0.0,0,185652102.91802523,148183291.54962024,72890320.68441541,0.0,0,0,353091.734961621,12.373070850227062,0,0.0058280200374050545,0.0021481172268173233,0.016959302029357387,0.025669351589547373,-0.12628438989317067,70928925.84005047,19483206.63556509,2668302.2173874117,28138189.71851635,19882937.598566722,-327844787.7539106,-167227132.4097282
