,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006194736439528773,0.0021144495721921253,0.11803492802661686,0.2620783704283977,-0.22156189512739682,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,52,858,26,64,19,981,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,3713350.7266302253,83550933.68088232,101473968.87023252,7844498.020142042,0,280647.7172443048,6419934.552026803,5489941.335688377,603174.6285618651,0,0,0.0,0.0,0,0.005961209011223114,0.0021144495721921253,0.03368657075922911,0.2620783704283977,-0.2212315040565371,3849370.7508105054,1055941.1712159791,174740.43759306704,9117627.576068234,1723635.8877866957,-64907.53612654342,-28267.74247106861
2,2022,0.05972962709646766,0,73,927,0,0,0,1000,0,55634391075.99874,55632043094.10596,2347981.893989366,3298899208.6963573,0.0,0,89717634.33912805,143535668.15956968,215495915.141624,7402697.353353202,0,5698600.794240233,11899640.329022288,11229210.79086554,569444.5018398956,0,0,1.0787846064206958,0.0,0,0.005953169592715038,0.0021144495721921253,0.0383267865983723,0.05942159664616404,-0.21255689270530517,6555571.947508857,1798293.4792097097,561195.6868284489,12214281.788155055,3259345.215451073,-13782206.075609447,-6965873.652793614
3,2023,0.05836688665777374,0,204,796,0,0,0,1000,0,64869699994.6152,64812107781.74483,57592212.87122129,3720613763.4368668,125051.59056513807,0,225050363.80404013,220216237.22538468,347689407.87785906,6107979.338569274,0,14333548.936789084,18712164.26279123,17536128.934578627,470707.04712441267,0,0,25.747804988122994,0.0,0,0.00594488437170114,0.0021144495721921253,0.034878066766896164,0.05360273222510352,-0.20422241773029073,9939351.154279923,2726515.780992876,982512.8647379825,14827358.254032508,4967055.435845025,-34244036.614030875,-17338030.0036657
4,2024,0.05698711329906456,0,254,746,0,0,0,1000,0,75638070193.72394,75474593425.85698,163476767.8654371,4195086631.889492,2980357.0409201346,0,422773014.52795744,323605591.41524005,501229852.98677075,4126192.9004496904,0,26819586.85042165,27716701.913320735,24499756.037112013,316768.72283634543,0,0,118.89620266954304,0.0,0,0.005936429433443267,0.0021144495721921253,0.030927232599903938,0.04686756563256162,-0.19621474219341756,14397650.627657361,3949495.398261106,1415870.8820397225,16113737.011161085,6897581.139805356,-64046262.94135122,-32440782.638713893
5,2025,0.055598969189164155,0,256,744,0,0,0,1000,0,88193989845.88063,87866558874.9103,327430970.9698653,4729891395.47418,8291272.92780087,0,698713313.1933538,465387305.0792268,679674912.9862827,2527764.074256732,0,43903698.816603474,39909779.74574976,32213108.836837653,193998.99886596587,0,0,1534.2961712675547,0.0,0,0.00592786881674295,0.0021144495721921253,0.027186387778431735,0.04161479301274561,-0.18852105210543132,20366955.58038681,5586966.889362165,1836513.2063037998,16499917.815218804,9069562.116068916,-104625652.2519911,-52970070.9358487
6,2026,0.054209698950969866,0,248,752,0,0,0,1000,0,102834192160.29462,102271997665.63676,562194494.6595287,5333073109.284664,16271780.751320867,0,1074463159.6247091,658508438.4406216,887114214.5277643,1021345.7183083579,0,66668029.13698248,56376005.074239366,40778487.413592584,79101.29714315178,0,0,10437.14177620463,5.262514092645738,0,0.005919256264851938,0.0021144495721921253,0.02399237165353186,0.0374321529077873,-0.18112903592078325,28299699.375471674,7763039.633764482,2221043.7446460505,15699022.47854094,11474813.906103147,-159317903.30535823,-80631322.0600035
7,2027,0.05282533692132992,0,244,756,0,0,0,1000,0,119904668058.90309,119018563743.64188,886104315.2634817,6013537855.514376,27361224.390782896,0,1573421846.4708006,918934131.6775949,1128266167.4164946,195595.42003281304,0,96222426.97706133,78408401.2565701,50309405.54869664,15514.180320682526,0,0,42962.81769710642,24.488076671588882,0,0.0059106367260506444,0.0021144495721921253,0.021228375945804925,0.034148696196018506,-0.17402686483653035,38729781.09516699,10624170.301589742,2541208.258066426,14004759.550754225,14083698.853962738,-230079478.30104873,-116451649.83378817
8,2028,0.0514508847429268,0,242,758,0,0,0,1000,0,139808842956.6815,138488144621.80286,1320698334.8809946,6781210511.402156,42209445.27934772,0,2223052492.403091,1264535080.6320848,1408630361.5984077,40038.871630171714,0,133816735.5445129,107442621.36876826,60934392.57036137,3268.503388948009,0,0,131423.08727851853,76.8349102720024,0,0.00590204763956379,0.0021144495721921253,0.018849536341899256,0.031259808526636304,-0.1672031738637271,52217673.37223504,14324105.09360304,2770428.6973922094,11171784.203047339,16855795.92174021,-320642274.9393987,-162351632.85269833
9,2029,0.05009046351667033,0,228,772,0,0,0,1000,0,163017110887.49374,161125849890.33383,1891260997.1591558,7647330521.365129,61542710.79525786,0,3053347367.7678957,1715813492.86728,1734614701.1349006,0.0,0,180683330.8471423,145119672.40776506,72798955.75036097,0.0,0,0,331698.5379154571,76.8349102720024,0,0.005893520037405064,0.0021144495721921253,0.016924534851546217,0.028935082848240454,-0.16064704364101873,69371629.40935943,19029697.150438454,2882341.618473103,7731514.110940025,19712130.227363635,-431902656.4178174,-218572458.33673346
