,Year,Average weight of waste,Agents repairing,Agents selling,Agents recycling,Agents landfilling,Agents storing,Agents buying new,Agents buying used,Agents buying certified,Total product,New product,Used product,New product_mass,Used product_mass,End-of-life - repaired,End-of-life - sold,End-of-life - recycled,End-of-life - landfilled,End-of-life - stored,eol - new repaired weight,eol - new sold weight,eol - new recycled weight,eol - new landfilled weight,eol - new stored weight,eol - used repaired weight,eol - used sold weight,eol - used recycled weight,eol - used landfilled weight,eol - used stored weight,Average landfilling cost,Average storing cost,Average recycling cost,Average repairing cost,Average selling cost,Recycled material volume,Recycled material value,Producer costs,Consumer costs,Recycler costs,Refurbisher costs,Refurbisher costs w margins
0,2020,0.062360781310163156,5,10,100,442,443,999,1,0,40921000000.0,40921000000.0,0.0,2602673722.358042,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.006072336439528763,0.0021350642049913966,0.11844782368952551,0.27798998375725364,-0.1636669545479914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021,0.06106501304191908,0,44,929,14,13,7,993,0,47713886000.0,47713886000.0,0.0,2926097720.7503233,0.0,0,1372376.334346003,90328429.58311476,100392285.96590604,5019266.244618019,0,103229.88712731365,6939603.606536484,5407968.992008843,378487.0639737088,0,0,0.0,0.0,0,0.0058388090112231105,0.0021350642049913966,0.03266848174187495,0.27798998375725364,-0.1634228958828208,4161624.5263271,1173363.526793218,174313.0745960739,10160004.731682649,1755989.9017924953,-6255.830782770483,7472.0435132405455
2,2022,0.05972962709646766,0,1,999,0,0,0,1000,0,55634391075.99874,55633523314.38391,867761.616130417,3298899208.6963573,0.0,0,76123077.08577952,156302362.74642193,220402583.04861736,4522674.104655609,0,4669248.035438539,12952654.448873922,11512716.591165347,341759.4054791327,0,0,0.3998090266986762,0.0,0,0.005830769592715034,0.0021350642049913966,0.03698667158831277,0.0616112177422006,-0.1570149924799039,7138027.413312849,2012555.665953686,555746.0627780437,14914145.047678234,3339765.805084925,-250603.600144098,-115967.03797039972
3,2023,0.05836688665777374,0,163,837,0,0,0,1000,0,64869699994.6152,64821247952.718094,48452041.897893935,3720692598.7552357,46216.27219795546,0,197810477.2458286,235524038.64384714,362840600.5167333,4938695.781074788,0,12355322.846340604,19992824.897883724,18472240.680748735,367712.53114389215,0,0,21.710885135555127,0.0,0,0.005822484371701126,0.0021350642049913966,0.03450346128620784,0.05844910502318714,-0.15085834656327307,10633941.213811392,2998223.094710965,992856.3268199321,19037326.977431793,5051344.364979131,-10603010.53987763,-5085669.103621489
4,2024,0.05698711329906456,0,231,769,0,0,0,1000,0,75638070193.72394,75495178129.80487,142892063.91744322,4195561372.7817664,2505616.1486436124,0,383089321.58094704,340260225.54282725,526625141.3822673,4757346.420484531,0,24006952.629935406,29120812.302602176,26076173.893663604,349257.31925307174,0,0,80.2726343484347,0.0,0,0.005814029433443267,0.0021350642049913966,0.030835454710686664,0.050349871920739545,-0.144943106185974,15150318.074409861,4271608.487351403,1455709.0561574083,21890399.701474003,6965616.761435322,-29298509.948413774,-14176801.342501208
5,2025,0.055598969189164155,0,239,761,0,0,0,1000,0,88193989845.88063,87899219956.98473,294769888.895544,4730940166.75264,7242501.649351336,0,655776383.8503875,482933387.3175534,707749250.126605,3759335.420417138,0,40851077.41826201,41404054.9909832,33953049.108232915,268170.2065092147,0,0,1176.429225841788,0.0,0,0.005805468816742944,0.0021350642049913966,0.027222873292075275,0.044379626399116474,-0.1392598057014176,21157154.846194267,5965226.72100609,1919415.6402625667,24681365.11266158,9107361.13048882,-54846964.21824972,-26661213.43767502
6,2026,0.054209698950969866,0,232,768,0,0,0,1000,0,102834192160.29462,102311156212.95334,523035947.3428893,5334709700.992804,14635189.043189771,0,1031301819.6502869,677513547.050015,915282122.6502331,1608059.9872404884,0,63554618.96630724,58006334.6009327,42522064.6368524,110757.39926609401,0,0,8585.533427079716,0.0,0,0.0057968562648519325,0.0021350642049913966,0.02402216226989622,0.039774489561711736,-0.13379935061632647,29149830.364910208,8218749.083685774,2359413.4211529815,27041908.77476346,11469088.76003652,-89966076.07805908,-43815829.68150915
7,2027,0.05282533692132992,0,246,754,0,0,0,1000,0,119904668058.90309,119060253275.0697,844414783.8356334,6015481365.748324,25417714.15684494,0,1529751922.7124195,938478238.6432103,1156470271.508722,1042139.0732096707,0,93065846.244585,80077983.36106306,52053845.20239087,68477.17912445439,0,0,36532.228170542534,0.0,0,0.005788236726050639,0.0021350642049913966,0.021305917922302686,0.03611770400542528,-0.12855300303760536,39601499.03646238,11165580.72016454,2757475.3651810014,29260151.270513184,14016508.014144013,-135958938.15676415,-66334739.179128215
8,2028,0.0514508847429268,0,229,771,0,0,0,1000,0,139808842956.6815,138531086364.36197,1277756592.321802,6783270043.4691925,40149913.21230013,0,2178454591.1852856,1285532865.7493849,1436851606.3390062,191479.7751340497,0,130538102.05323932,109268107.51273464,62678827.011204146,12279.372963587155,0,0,114291.07590726031,0.0,0,0.005779647639563795,0.0021350642049913966,0.0189379921042127,0.03317461537111139,-0.12351236768984777,53146124.53250676,14984466.69620389,3084505.945264296,31345705.58186229,16699840.72696987,-194708788.21471202,-94984189.58316325
9,2029,0.05009046351667033,0,211,789,0,0,0,1000,0,163017110887.49374,161169838829.5902,1847272057.9028218,7649445759.054419,59427473.10597118,0,3007809996.437721,1737136548.7260404,1762851198.0596173,-10988.76945242876,0,177270396.4766995,147046900.2647094,74543239.27021621,1022.3305913486354,0,0,293729.85533567885,0.0,0,0.005771120037405054,0.0021350642049913966,0.01692701505025123,0.030652956118667557,-0.11866937848110434,70312444.73296782,19824483.83015027,3326486.1347019305,33083533.962487563,19466864.39523126,-268206778.38134766,-130810537.71045549
